,URL,NAME,ACTIVE_FROM,ACTIVE_TO,POSITION,COLLEGE,DRAFT_YEAR,DRAFT_PICK,DRAFT_TEAM,BIRTH_DATE(year),HEIGHT(cm),WEIGHT(kg)
0,/players/a/abdelal01.html,Alaa Abdelnaby,1991,1995,F-C,Duke,1990.0,25.0,POR,1968,208.28,108.86
1,/players/a/abdulma02.html,Mahmoud Abdul-Rauf,1991,2001,G,LSU,1990.0,3.0,DEN,1969,185.42,73.48
2,/players/a/abdulta01.html,Tariq Abdul-Wahad,1998,2003,F,"Michigan, San Jose State",1997.0,11.0,SAC,1974,198.12,101.15
3,/players/a/abdursh01.html,Shareef Abdur-Rahim,1997,2008,F,California,1996.0,3.0,VAN,1976,205.74,102.06
4,/players/a/abrinal01.html,Álex Abrines,2017,2019,G-F,No College,Undrafted,Undrafted,Undrafted,1993,198.12,90.72
5,/players/a/achiupr01.html,Precious Achiuwa,2021,2022,F,Memphis,2020.0,20.0,MIA,1999,203.2,102.06
6,/players/a/ackeral01.html,Alex Acker,2006,2009,G,Pepperdine,2005.0,60.0,DET,1983,195.57999999999998,83.91
7,/players/a/acresma01.html,Mark Acres,1988,1993,F-C,Oral Roberts,1985.0,40.0,DAL,1962,210.82,99.79
8,/players/a/acyqu01.html,Quincy Acy,2013,2019,F-C,Baylor,2012.0,37.0,TOR,1990,200.66,108.86
9,/players/a/adamsha01.html,Hassan Adams,2007,2009,G,Arizona,2006.0,54.0,NJN,1984,193.04,99.79
10,/players/a/adamsja01.html,Jaylen Adams,2019,2021,G,St. Bonaventure,Undrafted,Undrafted,Undrafted,1996,182.88,102.06
11,/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,UCLA,2014.0,22.0,MEM,1994,195.57999999999998,94.8
12,/players/a/adamsmi01.html,Michael Adams,1986,1996,G,Boston College,1985.0,66.0,SAC,1963,177.8,73.48
13,/players/a/adamsst01.html,Steven Adams,2014,2022,C,Pitt,2013.0,12.0,OKC,1993,210.82,120.2
14,/players/a/addisra01.html,Rafael Addison,1987,1997,F-G,Syracuse,1986.0,39.0,PHO,1964,200.66,97.52
15,/players/a/adebaba01.html,Bam Adebayo,2018,2022,C-F,Kentucky,2017.0,14.0,MIA,1997,205.74,115.67
16,/players/a/adelde01.html,Deng Adel,2019,2019,F,Louisville,Undrafted,Undrafted,Undrafted,1997,200.66,90.72
17,/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,UConn,Undrafted,Undrafted,Undrafted,1986,200.66,111.13
18,/players/a/afflaar01.html,Arron Afflalo,2008,2018,G-F,UCLA,2007.0,27.0,DET,1985,195.57999999999998,95.25
19,/players/a/agerma01.html,Maurice Ager,2007,2011,G,Michigan State,2006.0,28.0,DAL,1984,195.57999999999998,91.63
20,/players/a/ahearbl01.html,Blake Ahearn,2008,2012,G,Missouri State,Undrafted,Undrafted,Undrafted,1984,187.96,86.18
