,TEAM_3_LETTERS,SEASON,LEAGUE,W,L,W/L%,FINISH,SRS,PACE,REL_PACE,ORtg,REL_ORTG,DRTG,REL_DRTG,PLAYOFFS
0,ATL,2021-22,NBA,43,39,0.524,2nd of 5,1.55,97.7,-0.5,116.5,4.5,114.9,2.9,Lost E. Conf. 1st Rnd.
1,ATL,2020-21,NBA,41,31,0.569,1st of 5,2.14,97.6,-1.6,115.7,3.4,113.3,1.0,Lost E. Conf. Finals
2,ATL,2019-20,NBA,20,47,0.299,5th of 5,-7.71,103.0,2.7,107.2,-3.4,114.8,4.2,not_play
3,ATL,2018-19,NBA,29,53,0.354,5th of 5,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5,not_play
4,ATL,2017-18,NBA,24,58,0.293,5th of 5,-5.3,98.3,1.0,105.0,-3.6,110.6,2.0,not_play
5,ATL,2016-17,NBA,43,39,0.524,2nd of 5,-1.23,97.4,1.0,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.
6,ATL,2015-16,NBA,48,34,0.585,2nd of 5,3.49,97.1,1.3,105.1,-1.3,101.4,-5.0,Lost E. Conf. Semis
7,ATL,2014-15,NBA,60,22,0.732,1st of 5,4.75,93.9,0.0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals
8,ATL,2013-14,NBA,38,44,0.463,4th of 5,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.
9,ATL,2012-13,NBA,44,38,0.537,2nd of 5,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.
10,ATL,2011-12,NBA,40,26,0.606,2nd of 5,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.
11,ATL,2010-11,NBA,44,38,0.537,3rd of 5,-1.1,89.3,-2.8,106.1,-1.2,107.0,-0.3,Lost E. Conf. Semis
12,ATL,2009-10,NBA,53,29,0.646,2nd of 5,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis
13,ATL,2008-09,NBA,47,35,0.573,2nd of 5,1.7,89.6,-2.1,109.3,1.0,107.6,-0.7,Lost E. Conf. Semis
14,ATL,2007-08,NBA,37,45,0.451,3rd of 5,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.
15,ATL,2006-07,NBA,30,52,0.366,5th of 5,-4.86,90.0,-1.9,103.0,-3.5,108.3,1.8,not_play
16,ATL,2005-06,NBA,26,56,0.317,5th of 5,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4,not_play
17,ATL,2004-05,NBA,13,69,0.159,5th of 5,-9.62,91.4,0.5,100.6,-5.5,111.1,5.0,not_play
18,ATL,2003-04,NBA,28,54,0.341,7th of 8,-5.0,90.8,0.7,101.0,-1.9,106.1,3.2,not_play
19,ATL,2002-03,NBA,35,47,0.427,5th of 8,-3.87,91.0,0.0,102.3,-1.3,106.1,2.5,not_play
20,ATL,2001-02,NBA,33,49,0.402,6th of 8,-4.41,91.9,1.2,101.8,-2.7,106.4,1.9,not_play
21,ATL,2000-01,NBA,25,57,0.305,7th of 8,-5.55,91.9,0.6,98.7,-4.3,104.3,1.3,not_play
22,ATL,1999-00,NBA,28,54,0.341,7th of 8,-5.41,91.7,-1.4,102.0,-2.1,107.9,3.8,not_play
23,ATL,1998-99,NBA,31,19,0.62,2nd of 8,2.82,85.3,-3.6,100.5,-1.7,97.1,-5.1,Lost E. Conf. Semis
24,ATL,1997-98,NBA,50,32,0.61,4th of 8,3.85,87.7,-2.6,108.2,3.2,104.3,-0.7,Lost E. Conf. 1st Rnd.
25,ATL,1996-97,NBA,56,26,0.683,2nd of 8,5.52,86.8,-3.3,108.5,1.8,102.3,-4.4,Lost E. Conf. Semis
26,ATL,1995-96,NBA,46,36,0.561,4th of 8,1.29,89.6,-2.2,109.4,1.8,108.0,0.4,Lost E. Conf. Semis
27,ATL,1994-95,NBA,42,40,0.512,5th of 7,1.06,89.8,-3.1,106.6,-1.7,105.2,-3.1,Lost E. Conf. 1st Rnd.
28,ATL,1993-94,NBA,57,25,0.695,1st of 7,4.94,94.2,-0.9,107.2,0.9,101.7,-4.6,Lost E. Conf. Semis
29,ATL,1992-93,NBA,43,39,0.524,4th of 7,-0.67,97.6,0.8,109.3,1.3,110.2,2.2,Lost E. Conf. 1st Rnd.
30,ATL,1991-92,NBA,38,44,0.463,5th of 7,-1.15,97.8,1.2,107.3,-0.9,108.9,0.7,not_play
31,ATL,1990-91,NBA,43,39,0.524,4th of 7,0.72,98.6,0.8,110.9,3.0,110.1,2.2,Lost E. Conf. 1st Rnd.
32,ATL,1989-90,NBA,41,41,0.5,6th of 7,0.64,95.8,-2.5,113.0,4.9,111.9,3.8,not_play
33,ATL,1988-89,NBA,52,30,0.634,3rd of 6,5.26,98.3,-2.3,112.2,4.4,107.2,-0.6,Lost E. Conf. 1st Rnd.
34,ATL,1987-88,NBA,50,32,0.61,3rd of 6,4.02,96.4,-3.2,111.3,3.3,107.6,-0.4,Lost E. Conf. Semis
35,ATL,1986-87,NBA,57,25,0.695,1st of 6,7.18,97.4,-3.4,112.6,4.3,105.2,-3.1,Lost E. Conf. Semis
36,ATL,1985-86,NBA,50,32,0.61,2nd of 6,2.59,100.0,-2.1,107.9,0.7,105.6,-1.6,Lost E. Conf. Semis
37,BOS,2021-22,NBA,51,31,0.622,1st of 5,7.02,96.6,-1.6,114.4,2.4,106.9,-5.1,Won E. Conf. Finals
38,BOS,2020-21,NBA,36,36,0.5,4th of 5,1.32,98.3,-0.9,114.0,1.7,112.5,0.2,Lost E. Conf. 1st Rnd.
39,BOS,2019-20,NBA,48,24,0.667,2nd of 5,5.83,99.5,-0.8,113.3,2.7,107.0,-3.6,Lost E. Conf. Finals
40,BOS,2018-19,NBA,49,33,0.598,3rd of 5,3.9,99.6,-0.4,112.2,1.8,107.8,-2.6,Lost E. Conf. Semis
41,BOS,2017-18,NBA,55,27,0.671,2nd of 5,3.23,96.0,-1.3,107.6,-1.0,103.9,-4.7,Lost E. Conf. Finals
42,BOS,2016-17,NBA,53,29,0.646,1st of 5,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,Lost E. Conf. Finals
43,BOS,2015-16,NBA,48,34,0.585,2nd of 5,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,Lost E. Conf. 1st Rnd.
44,BOS,2014-15,NBA,40,42,0.488,2nd of 5,-0.4,95.8,1.9,104.7,-0.9,104.5,-1.1,Lost E. Conf. 1st Rnd.
45,BOS,2013-14,NBA,25,57,0.305,4th of 5,-4.97,93.3,-0.6,102.9,-3.8,107.7,1.0,not_play
46,BOS,2012-13,NBA,41,40,0.506,3rd of 5,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,Lost E. Conf. 1st Rnd.
47,BOS,2011-12,NBA,39,27,0.591,1st of 5,2.26,90.4,-0.9,101.0,-3.6,98.2,-6.4,Lost E. Conf. Finals
48,BOS,2010-11,NBA,56,26,0.683,1st of 5,4.83,90.4,-1.7,106.2,-1.1,100.3,-7.0,Lost E. Conf. Semis
49,BOS,2009-10,NBA,50,32,0.61,1st of 5,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,Lost Finals
50,BOS,2008-09,NBA,62,20,0.756,1st of 5,7.44,90.4,-1.3,110.5,2.2,102.3,-6.0,Lost E. Conf. Semis
51,BOS,2007-08,NBA,66,16,0.805,1st of 5,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,Won Finals
52,BOS,2006-07,NBA,24,58,0.293,5th of 5,-3.7,92.0,0.1,103.2,-3.3,106.9,0.4,not_play
53,BOS,2005-06,NBA,33,49,0.402,3rd of 5,-1.59,92.2,1.7,105.2,-1.0,106.9,0.7,not_play
54,BOS,2004-05,NBA,45,37,0.549,1st of 5,0.35,93.3,2.4,107.5,1.4,106.6,0.5,Lost E. Conf. 1st Rnd.
55,BOS,2003-04,NBA,36,46,0.439,4th of 7,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8,Lost E. Conf. 1st Rnd.
56,BOS,2002-03,NBA,44,38,0.537,3rd of 7,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2.0,Lost E. Conf. Semis
57,BOS,2001-02,NBA,49,33,0.598,2nd of 7,1.75,92.5,1.8,103.4,-1.1,101.0,-3.5,Lost E. Conf. Finals
58,BOS,2000-01,NBA,36,46,0.439,5th of 7,-2.4,92.6,1.3,101.4,-1.6,103.7,0.7,not_play
59,BOS,1999-00,NBA,35,47,0.427,5th of 7,-1.0,94.6,1.5,104.8,0.7,105.6,1.5,not_play
60,BOS,1998-99,NBA,19,31,0.38,5th of 7,-1.75,91.5,2.6,100.4,-1.8,102.4,0.2,not_play
61,BOS,1997-98,NBA,36,46,0.439,6th of 7,-1.96,93.3,3.0,102.6,-2.4,105.4,0.4,not_play
62,BOS,1996-97,NBA,15,67,0.183,7th of 7,-6.62,95.8,5.7,103.9,-2.8,111.4,4.7,not_play
63,BOS,1995-96,NBA,33,49,0.402,5th of 7,-3.37,96.2,4.4,106.4,-1.2,109.9,2.3,not_play
64,BOS,1994-95,NBA,35,47,0.427,3rd of 7,-1.92,94.0,1.1,108.6,0.3,110.6,2.3,Lost E. Conf. 1st Rnd.
65,BOS,1993-94,NBA,32,50,0.39,5th of 7,-4.28,95.6,0.5,104.2,-2.1,108.7,2.4,not_play
66,BOS,1992-93,NBA,48,34,0.585,2nd of 7,0.93,94.9,-1.9,108.7,0.7,107.8,-0.2,Lost E. Conf. 1st Rnd.
67,BOS,1991-92,NBA,51,31,0.622,1st of 7,3.41,95.8,-0.8,110.8,2.6,107.0,-1.2,Lost E. Conf. Semis
68,BOS,1990-91,NBA,56,26,0.683,1st of 6,5.22,98.5,0.7,112.6,4.7,106.7,-1.2,Lost E. Conf. Semis
69,BOS,1989-90,NBA,52,30,0.634,2nd of 6,3.23,98.2,-0.1,112.0,3.9,107.9,-0.2,Lost E. Conf. 1st Rnd.
70,BOS,1988-89,NBA,42,40,0.512,3rd of 6,1.26,98.1,-2.5,110.8,3.0,109.6,1.8,Lost E. Conf. 1st Rnd.
71,BOS,1987-88,NBA,57,25,0.695,1st of 5,6.15,97.9,-1.7,115.4,7.4,109.4,1.4,Lost E. Conf. Finals
72,BOS,1986-87,NBA,59,23,0.72,1st of 5,6.57,98.6,-2.2,113.5,5.2,106.8,-1.5,Lost Finals
73,BOS,1985-86,NBA,67,15,0.817,1st of 5,9.06,101.2,-0.9,111.8,4.6,102.6,-4.6,Won Finals
74,NJN,2021-22,NBA,44,38,0.537,4th of 5,0.82,99.0,0.8,113.6,1.6,112.8,0.8,Lost E. Conf. 1st Rnd.
75,NJN,2020-21,NBA,48,24,0.667,2nd of 5,4.24,99.5,0.3,118.3,6.0,113.8,1.5,Lost E. Conf. Semis
76,NJN,2019-20,NBA,35,37,0.486,4th of 5,-1.01,101.4,1.1,108.9,-1.7,109.5,-1.1,Lost E. Conf. 1st Rnd.
77,NJN,2018-19,NBA,42,40,0.512,4th of 5,-0.4,100.8,0.8,109.6,-0.8,109.7,-0.7,Lost E. Conf. 1st Rnd.
78,NJN,2017-18,NBA,28,54,0.341,5th of 5,-3.67,98.9,1.6,106.9,-1.7,110.6,2.0,not_play
79,NJN,2016-17,NBA,20,62,0.244,5th of 5,-6.74,101.3,4.9,104.1,-4.7,110.7,1.9,not_play
80,NJN,2015-16,NBA,21,61,0.256,4th of 5,-7.12,95.2,-0.6,103.2,-3.2,110.9,4.5,not_play
81,NJN,2014-15,NBA,38,44,0.463,3rd of 5,-3.13,92.7,-1.2,104.4,-1.2,107.4,1.8,Lost E. Conf. 1st Rnd.
82,NJN,2013-14,NBA,44,38,0.537,2nd of 5,-1.58,91.4,-2.5,106.7,0.0,107.7,1.0,Lost E. Conf. Semis
83,NJN,2012-13,NBA,49,33,0.598,2nd of 5,1.25,88.8,-3.2,108.2,2.3,106.2,0.3,Lost E. Conf. 1st Rnd.
84,NJN,2011-12,NBA,22,44,0.333,5th of 5,-6.37,90.1,-1.2,102.9,-1.7,109.6,5.0,not_play
85,NJN,2010-11,NBA,24,58,0.293,4th of 5,-6.28,89.9,-2.2,103.1,-4.2,109.9,2.6,not_play
86,NJN,2009-10,NBA,12,70,0.146,5th of 5,-8.93,91.4,-1.3,100.6,-7.0,110.5,2.9,not_play
87,NJN,2008-09,NBA,34,48,0.415,3rd of 5,-2.31,89.9,-1.8,108.3,0.0,111.0,2.7,not_play
88,NJN,2007-08,NBA,34,48,0.415,4th of 5,-5.15,91.5,-0.9,104.0,-3.5,109.4,1.9,not_play
89,NJN,2006-07,NBA,41,41,0.5,2nd of 5,-1.0,91.4,-0.5,105.7,-0.8,106.6,0.1,Lost E. Conf. Semis
90,NJN,2005-06,NBA,49,33,0.598,1st of 5,1.11,89.8,-0.7,103.9,-2.3,102.4,-3.8,Lost E. Conf. Semis
91,NJN,2004-05,NBA,42,40,0.512,3rd of 5,-1.82,89.1,-1.8,101.4,-4.7,103.1,-3.0,Lost E. Conf. 1st Rnd.
92,NJN,2003-04,NBA,47,35,0.573,1st of 7,1.88,89.4,-0.7,100.8,-2.1,98.0,-4.9,Lost E. Conf. Semis
93,NJN,2002-03,NBA,49,33,0.598,1st of 7,4.42,91.6,0.6,103.8,0.2,98.1,-5.5,Lost Finals
94,NJN,2001-02,NBA,52,30,0.634,1st of 7,3.67,91.8,1.1,104.0,-0.5,99.5,-5.0,Lost Finals
95,NJN,2000-01,NBA,26,56,0.317,6th of 7,-5.3,91.8,0.5,100.0,-3.0,105.5,2.5,not_play
96,NJN,1999-00,NBA,31,51,0.378,6th of 7,-1.18,92.5,-0.6,105.1,1.0,106.3,2.2,not_play
97,NJN,1998-99,NBA,16,34,0.32,7th of 7,-3.2,91.5,2.6,99.5,-2.7,103.6,1.4,not_play
98,NJN,1997-98,NBA,43,39,0.524,3rd of 7,1.88,91.0,0.7,108.3,3.3,106.6,1.6,Lost E. Conf. 1st Rnd.
99,NJN,1996-97,NBA,26,56,0.317,5th of 7,-3.89,92.4,2.3,104.7,-2.0,109.7,3.0,not_play
100,NJN,1995-96,NBA,30,52,0.366,6th of 7,-4.14,90.9,-0.9,101.9,-5.7,106.5,-1.1,not_play
101,NJN,1994-95,NBA,30,52,0.366,5th of 7,-3.28,92.3,-0.6,105.2,-3.1,108.6,0.3,not_play
102,NJN,1993-94,NBA,45,37,0.549,3rd of 7,2.11,95.5,0.4,107.2,0.9,104.9,-1.4,Lost E. Conf. 1st Rnd.
103,NJN,1992-93,NBA,43,39,0.524,3rd of 7,1.2,96.0,-0.8,106.5,-1.5,105.2,-2.8,Lost E. Conf. 1st Rnd.
