,URL,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_GS_2S,MEAN_FG%_PER_GAME_2S,MEAN_3P_PER_GAME_2S,MEAN_3P%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_ORB_PER_GAME_2S,MEAN_AST_PER_GAME_2S,MEAN_FTr_2S,MEAN_ORB%_2S,MEAN_DRB%_2S,MEAN_STL%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OWS_2S,MEAN_DBPM_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_W/L%_TEAM_SGFCT,ALL_STAR,ROY,HALL_OF_FAME,DRAFT_PICK,AGE_ENTRANCE,IS_ACTIVE,N_PLAYOFFS,MEAN_G_PLAYOFF_1stPO,MEAN_GS_PLAYOFF_1stPO,MEAN_FG%_PER_GAME_PLAYOFF_1stPO,MEAN_FT%_PER_GAME_PLAYOFF_1stPO,MEAN_3P%_PER_GAME_PLAYOFF_1stPO,MEAN_FTr_PLAYOFF_1stPO,MEAN_ORB%_PLAYOFF_1stPO,MEAN_DRB%_PLAYOFF_1stPO,MEAN_AST%_PLAYOFF_1stPO,MEAN_STL%_PLAYOFF_1stPO,MEAN_BLK%_PLAYOFF_1stPO,MEAN_TOV%_PLAYOFF_1stPO,MEAN_USG%_PLAYOFF_1stPO,MEAN_OWS_PLAYOFF_1stPO,MEAN_OBPM_PLAYOFF_1stPO,MEAN_DBPM_PLAYOFF_1stPO
0,/players/a/abdelal01.html,1.8,5,0,1,PF,57.0,0.5,0.4835,0.0,0.0,0.6599999999999999,0.8500000000000001,0.35,0.3295,9.95,22.15,1.0,14.0,21.35,0.3,-0.8,112.1,104.25,0.5536,0,0,0,25,23,0,3,5.0,0.0,0.333,0.0,0.0,0.0,8.8,18.9,0.0,0.0,0.0,0.0,19.8,0.0,-2.6,-4.6
1,/players/a/abdulma02.html,3.0,3,0,1,PG,74.0,15.0,0.417,0.4,0.28500000000000003,0.8634999999999999,0.4,2.75,0.1125,1.7,6.4,1.45,10.55,26.95,-0.44999999999999996,-2.45,102.95,111.65,0.4042857142857143,0,0,0,3,22,0,2,12.0,12.0,0.37,0.935,0.324,0.201,1.1,5.0,18.0,0.8,0.2,7.7,24.8,0.2,-0.8,-1.9
2,/players/a/abdulta01.html,2.0,5,0,1,SG,54.0,32.5,0.41900000000000004,0.1,0.2485,0.6815,1.1,0.95,0.34199999999999997,5.65,9.25,2.0,13.3,20.55,-0.15000000000000002,-0.85,101.75,105.0,0.4803333333333333,0,0,0,11,24,0,2,5.0,5.0,0.455,0.813,0.0,0.485,6.9,15.7,8.1,2.2,2.8,7.0,20.0,0.3,2.6,1.9
3,/players/a/abdursh01.html,2.8,5,0,3,PF,81.0,76.5,0.469,0.2,0.3355,0.765,2.75,2.4000000000000004,0.4515,8.850000000000001,14.0,1.55,13.55,28.0,4.0,-1.9500000000000002,102.19999999999999,111.9,0.33233333333333337,1,0,0,3,21,0,1,6.0,0.0,0.535,0.6,0.0,0.349,7.1,22.9,10.2,0.8,0.0,20.8,22.8,0.0,-3.5,-1.9
4,/players/a/abrinal01.html,3.0,1,0,1,SG,71.5,7.0,0.394,1.25,0.3805,0.873,0.3,0.5,0.151,2.2,8.0,1.7,7.8500000000000005,14.3,1.25,0.0,109.5,107.35,0.579,0,0,0,-100,24,0,2,5.0,0.0,0.348,0.75,0.294,0.174,2.6,10.0,7.1,0.0,0.0,0.0,13.3,0.1,-2.8,-1.9
5,/players/a/achiupr01.html,1.0,2,0,2,C,67.0,16.0,0.49150000000000005,0.4,0.1795,0.552,1.6,0.8,0.3495,10.1,21.15,1.2000000000000002,12.4,19.0,0.35,-0.55,112.05000000000001,110.85,0.585,0,0,0,20,22,1,2,3.0,0.0,0.75,0.25,0.0,1.0,0.0,50.8,0.0,0.0,15.2,41.0,35.7,-0.1,-11.3,2.8
6,/players/a/acresma01.html,2.0,4,0,1,C,70.5,2.5,0.507,0.0,0.5,0.591,1.15,0.4,0.484,11.25,15.75,1.35,16.1,10.9,0.75,-0.30000000000000004,113.1,109.5,0.38725,0,0,0,40,26,0,2,17.0,0.0,0.538,0.5,0.0,0.692,10.9,16.7,1.8,0.3,0.4,15.0,11.4,0.1,-4.1,-1.0
7,/players/a/adamsha01.html,1.0,2,0,1,SG,36.5,4.0,0.43200000000000005,0.0,0.0,0.5835,0.35,0.15000000000000002,0.36450000000000005,5.35,11.65,1.4,16.549999999999997,16.85,0.15,-1.05,106.35,108.3,0.5,0,0,0,54,23,0,1,6.0,0.0,0.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,10.7,0.0,-10.3,0.1
8,/players/a/adamsjo01.html,2.0,1,0,1,SG,16.0,0.0,0.37,0.15,0.2,0.6045,0.15,1.0,0.55,2.1,12.3,6.8500000000000005,16.15,25.45,0.0,6.0,105.55000000000001,105.0,0.671,0,0,0,22,21,0,1,4.0,0.0,0.667,0.5,1.0,1.333,0.0,11.3,0.0,5.2,0.0,0.0,21.7,0.1,11.7,7.1
9,/players/a/adamsmi01.html,2.75,4,0,1,PG,40.5,0.0,0.38549999999999995,0.2,0.1375,0.757,0.35,2.55,0.2945,2.3,5.1,3.05,16.75,16.9,0.5,0.5,105.95,108.1,0.41775,1,0,0,66,23,0,5,3.0,1.0,0.32,0.333,0.222,0.12,0.0,9.6,19.1,4.1,0.0,16.0,16.0,-0.2,-4.2,2.2
10,/players/a/adamsst01.html,3.0,3,0,1,C,75.5,43.5,0.5235000000000001,0.0,0.0,0.5415,2.3,0.7,0.6245,13.149999999999999,18.200000000000003,1.4,19.65,13.0,1.4,0.55,109.15,104.7,0.5876250000000001,0,0,0,12,21,1,7,18.0,0.0,0.689,0.348,0.0,0.511,8.0,16.9,1.9,0.2,5.4,15.4,9.0,0.3,-1.7,1.5
11,/players/a/addisra01.html,1.5,4,0,1,SF,69.0,10.0,0.437,0.25,0.303,0.767,0.8,0.8,0.1845,6.15,9.7,1.5,11.05,20.55,0.35000000000000003,-1.4,107.5,109.5,0.448,0,0,0,39,23,0,2,1.0,0.0,0.286,0.0,0.5,0.0,0.0,0.0,17.0,0.0,0.0,0.0,31.7,0.0,1.2,-6.3
12,/players/a/adebaba01.html,5.0,1,0,2,C,75.5,23.5,0.544,0.0,0.1,0.728,1.85,1.85,0.49550000000000005,9.45,22.8,1.5,15.350000000000001,15.850000000000001,2.8499999999999996,1.4500000000000002,107.05,106.94999999999999,0.57025,1,0,0,14,21,1,4,5.0,0.0,0.467,0.214,0.0,0.933,12.1,15.4,0.0,0.0,2.2,8.6,13.0,-0.1,-4.3,-4.5
13,/players/a/afflaar01.html,1.8571428571428572,7,0,2,SG,74.5,8.5,0.424,0.35,0.305,0.7995,0.45,0.6499999999999999,0.299,3.6,11.3,1.55,11.2,14.85,0.65,0.6,109.4,105.45,0.44333333333333336,0,0,0,27,23,0,6,12.0,0.0,0.389,0.0,0.0,0.0,0.0,7.6,11.5,2.7,0.0,5.3,11.1,0.0,-3.2,1.7
14,/players/a/ahearbl01.html,1.0,3,0,1,PG,7.5,0.0,0.29800000000000004,0.75,0.397,0.984,0.05,1.15,0.4385,0.35,9.3,2.35,15.6,21.65,-0.05,0.04999999999999993,104.5,107.15,0.183,0,0,0,-100,24,0,1,3.0,0.0,0.667,0.0,1.0,0.0,0.0,0.0,57.8,0.0,0.0,0.0,16.2,0.1,17.3,3.7
15,/players/a/alarima01.html,2.5,2,0,1,PF,63.5,12.5,0.485,0.05,0.222,0.6885,1.1,0.8999999999999999,0.1955,8.3,13.7,0.75,11.9,19.35,0.5,-1.35,107.9,108.7,0.445,0,0,0,18,24,0,2,3.0,0.0,0.6,1.0,0.0,0.133,0.0,13.7,3.5,2.2,2.7,20.1,18.1,0.0,-5.6,1.0
16,/players/a/aldrico01.html,1.4285714285714286,7,0,1,C,22.0,0.0,0.5285,0.0,0.0,0.7145,0.6,0.15000000000000002,0.30000000000000004,10.149999999999999,19.55,2.1,24.0,11.4,0.15,1.9000000000000001,110.5,105.2,0.45616666666666666,0,0,0,11,23,0,2,5.0,0.0,0.444,0.5,0.0,0.444,24.4,37.7,0.0,0.0,0.0,0.0,20.2,0.1,0.8,-5.8
17,/players/a/aldrila01.html,4.5,4,0,2,PF,69.5,49.0,0.4935,0.0,0.0715,0.742,2.5999999999999996,1.0,0.2485,11.2,15.55,1.0,8.2,22.3,3.0,-0.7,106.19999999999999,109.15,0.587,7,0,0,2,22,1,9,6.0,6.0,0.49,0.7,0.25,0.192,4.4,20.9,7.0,0.7,3.6,8.1,26.3,0.2,1.5,-0.6
18,/players/a/alexaco01.html,1.8,5,0,2,PG,70.0,3.0,0.401,0.8,0.3835,0.688,0.30000000000000004,2.6,0.21200000000000002,2.0999999999999996,7.15,2.8,25.1,20.5,0.0,-0.45,106.75,107.9,0.41150000000000003,0,0,0,29,23,0,1,9.0,0.0,0.417,0.714,0.2,0.292,7.1,8.4,22.2,1.6,0.0,18.1,22.8,0.0,-1.4,-1.0
19,/players/a/alexaco02.html,1.25,4,0,2,PG,51.5,15.0,0.38249999999999995,0.2,0.33499999999999996,0.7765,0.55,0.8,0.2575,4.2,9.15,1.7,10.05,22.15,-0.1,-1.35,104.25,103.15,0.4876666666666667,0,0,0,13,24,0,1,5.0,0.0,0.438,0.75,1.0,0.25,6.3,6.3,4.9,2.8,0.0,5.3,22.4,0.1,-1.5,0.3
20,/players/a/alexani01.html,1.6666666666666667,3,0,1,SG,46.5,7.0,0.39349999999999996,1.35,0.3465,0.7015,0.25,2.05,0.14150000000000001,1.5,13.8,1.75,14.25,23.25,-0.5,-0.6499999999999999,112.1,112.85,0.49733333333333335,0,0,0,17,22,1,1,1.0,0.0,1.0,1.0,0.0,0.5,0.0,23.1,60.8,10.6,0.0,0.0,22.9,0.1,27.8,22.3
21,/players/a/alexaty01.html,1.0,1,0,1,SG,15.0,0.0,0.25,0.1,0.222,0.5,0.1,0.4,0.167,4.9,19.0,0.0,18.9,15.0,-0.1,-1.7,117.2,111.3,0.708,0,0,0,-100,23,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0,23.7,5.9
22,/players/a/alexavi01.html,2.5,2,0,1,C,76.0,43.5,0.5225,0.05,0.2275,0.688,1.55,0.8500000000000001,0.28400000000000003,8.55,18.35,1.2,14.4,19.15,1.35,-0.5,111.4,110.05000000000001,0.50325,0,0,0,17,23,0,2,4.0,0.0,0.6,1.0,0.0,0.2,4.5,25.6,5.5,4.0,0.0,26.9,12.7,0.0,-5.4,2.9
23,/players/a/alforst01.html,2.0,3,0,1,PG,47.0,1.5,0.4195,0.15,0.2445,0.8805,0.15000000000000002,1.1,0.2485,1.4,8.85,3.25,13.75,16.1,0.35,1.3,111.5,108.65,0.5192,0,0,0,26,24,0,3,4.0,0.0,0.375,0.0,0.0,0.0,9.3,9.3,25.9,0.0,0.0,11.1,31.7,0.0,-1.2,-5.8
24,/players/a/allengr01.html,1.3333333333333333,3,0,1,SG,38.0,1.0,0.42100000000000004,1.15,0.36350000000000005,0.8085,0.15000000000000002,1.0499999999999998,0.258,1.0,8.1,0.7,12.4,21.0,0.2,-1.65,110.05000000000001,108.0,0.5386666666666667,0,0,0,21,24,1,3,2.0,0.0,0.286,0.714,0.0,1.0,0.0,7.8,0.0,0.0,0.0,0.0,30.6,0.0,-1.6,-3.5
25,/players/a/allenja01.html,2.3333333333333335,3,0,1,C,76.0,55.5,0.5894999999999999,0.1,0.233,0.7424999999999999,2.2,1.0499999999999998,0.4295,10.05,21.05,0.95,14.05,16.1,3.5500000000000003,0.75,108.25,110.15,0.447,1,0,0,22,20,1,2,5.0,5.0,0.594,0.85,0.0,0.625,13.0,19.3,15.9,1.3,2.0,16.4,18.0,0.4,2.0,1.4
26,/players/a/allenla01.html,2.6666666666666665,3,0,2,PF,60.0,26.0,0.4635,0.0,0.0,0.7515000000000001,1.55,0.8500000000000001,0.10800000000000001,9.4,19.35,0.9500000000000001,10.350000000000001,14.65,0.65,0.35,102.95,102.45,0.42942857142857144,0,0,0,50,23,0,4,12.0,1.0,0.557,0.583,0.0,0.197,9.5,19.1,2.4,2.3,3.5,7.0,14.4,0.4,0.0,2.6
