,URL,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_GS_2S,MEAN_FG%_PER_GAME_2S,MEAN_3P_PER_GAME_2S,MEAN_3P%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_ORB_PER_GAME_2S,MEAN_AST_PER_GAME_2S,MEAN_STL_PER_GAME_2S,MEAN_BLK_PER_GAME_2S,MEAN_PF_PER_GAME_2S,MEAN_PER_2S,MEAN_3PAr_2S,MEAN_FTr_2S,MEAN_ORB%_2S,MEAN_DRB%_2S,MEAN_AST%_2S,MEAN_STL%_2S,MEAN_BLK%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OWS_2S,MEAN_DBPM_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_W/L%_TEAM_2S,MEAN_GS_SGFCT,MEAN_OWS_SGFCT,MEAN_OFF_TEAM_RTG_SGFCT,MEAN_W/L%_TEAM_SGFCT,ALL-ROOKIE,ALL_STAR,ROY,HALL_OF_FAME,DRAFT_PICK,HEIGHT(cm),AGE_ENTRANCE,IS_ACTIVE
0,/players/a/ackeral01.html,1.3333333333333333,3,0,1,SG,15.0,0.0,0.3225,0.25,0.275,0.25,0.25,0.65,0.2,0.1,0.6000000000000001,4.0,0.28800000000000003,0.066,3.95,11.649999999999999,14.049999999999999,1.4500000000000002,0.75,14.0,23.65,-0.15000000000000002,-2.95,110.65,102.69999999999999,0.768,0.0,-0.1,106.4,0.494,0,0,0,0,60,195.58,23,0
1,/players/a/acyqu01.html,1.5714285714285714,7,0,2,PF,46.0,0.0,0.514,0.05,0.3835,0.738,1.05,0.4,0.4,0.45,1.85,13.0,0.0665,0.4415,9.9,18.05,5.050000000000001,1.7,3.0,15.5,12.399999999999999,0.6499999999999999,0.9,104.4,107.6,0.36,7.625,0.7,105.325,0.36262500000000003,0,0,0,0,37,200.66,23,0
2,/players/a/adelde01.html,1.0,1,0,1,SF,19.0,3.0,0.306,0.3,0.261,1.0,0.2,0.3,0.1,0.2,0.7,2.7,0.639,0.111,1.6,9.6,3.4,0.3,1.8,13.7,9.9,-0.2,-1.6,107.7,117.6,0.232,3.0,-0.2,107.7,0.232,0,0,0,0,-100,200.66,22,0
3,/players/a/adrieje01.html,1.1666666666666667,6,0,1,PF,15.5,0.0,0.432,0.0,0.0,0.581,0.8,0.25,0.1,0.25,1.4,11.25,0.0,0.5509999999999999,11.05,26.15,4.85,0.5,2.15,10.6,16.450000000000003,0.1,-1.1,106.85,107.95,0.477,7.25,0.925,102.75,0.317,0,0,0,0,-100,200.66,25,0
4,/players/a/akognjo01.html,1.0,1,0,1,PG,3.0,0.0,0.5,0.3,0.5,0.0,0.0,0.3,0.0,0.0,1.0,15.3,0.5,0.0,0.0,12.1,19.4,0.0,0.0,0.0,20.3,0.0,0.1,105.9,106.5,0.5,0.0,0.0,105.9,0.5,0,0,0,0,-100,180.34,27,0
5,/players/a/akoonde01.html,1.0,1,0,1,SG,7.0,0.0,0.3,0.0,0.0,0.5,0.1,0.9,0.3,0.0,0.6,8.2,0.4,0.2,4.9,14.8,37.1,4.5,0.0,15.5,25.0,-0.1,2.1,113.0,108.9,0.659,0.0,-0.1,113.0,0.659,0,0,0,0,-100,198.12,26,0
6,/players/a/alabiso01.html,2.0,1,0,1,C,13.0,0.0,0.28049999999999997,0.0,0.0,0.4375,0.8500000000000001,0.2,0.15000000000000002,0.4,0.6000000000000001,8.1,0.0,0.1775,14.149999999999999,22.4,4.35,1.35,4.3,13.55,15.75,-0.1,-1.1,103.44999999999999,108.7,0.308,0.0,-0.1,103.44999999999999,0.308,0,0,0,0,50,215.9,23,0
7,/players/a/aldamsa01.html,1.0,1,0,1,PF,32.0,0.0,0.402,0.2,0.125,0.625,1.0,0.7,0.2,0.3,1.1,10.2,0.364,0.242,9.4,16.1,7.7,0.8,2.5,9.9,18.4,-0.1,-1.5,114.6,109.0,0.683,0.0,-0.1,114.6,0.683,0,0,0,0,30,210.82,21,1
8,/players/a/aldemfu01.html,1.0,1,0,1,PF,41.0,9.0,0.513,0.0,0.0,0.481,1.9,0.7,0.4,0.4,2.3,12.0,0.064,0.346,14.9,20.7,8.3,1.6,2.4,15.9,8.6,0.7,0.4,95.5,104.8,0.22,9.0,0.7,95.5,0.22,0,0,0,0,53,208.28,24,0
9,/players/a/alexacl01.html,1.0,1,0,1,PF,8.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.1,11.6,0.0,0.0,6.0,12.1,0.0,1.4,4.4,9.1,13.3,0.0,0.5,108.8,108.0,0.537,0.0,0.0,108.8,0.537,0,0,0,0,-100,203.2,21,0
