SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,URL
1990-91,22,POR,NBA,PF,5,13.0,6.3,0.333,0.0,0.0,8.8,18.9,13.7,0.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,-0.035,-2.6,-4.6,-7.3,0.0,/players/a/abdelal01.html
1991-92,23,POR,NBA,PF,8,25.0,8.6,0.51,0.0,0.4,0.0,19.4,9.8,12.9,0.0,0.0,14.5,23.7,0.0,0.0,0.0,-0.005,-4.2,-0.4,-4.6,0.0,/players/a/abdelal01.html
1992-93,24,BOS,NBA,PF,4,68.0,3.2,0.458,0.0,0.0,3.7,20.6,12.1,2.2,0.0,0.9,27.3,21.9,-0.2,0.0,-0.2,-0.145,-8.4,-2.6,-11.0,-0.1,/players/a/abdelal01.html
1993-94,24,DEN,NBA,PG,12,339.0,11.8,0.462,0.24,0.201,1.1,5.0,3.1,18.0,0.8,0.2,7.7,24.8,0.2,0.1,0.3,0.042,-0.8,-1.9,-2.7,-0.1,/players/a/abdulma02.html
1994-95,25,DEN,NBA,PG,3,76.0,10.2,0.511,0.364,0.424,3.0,5.1,4.0,12.3,1.4,0.0,17.0,27.8,0.0,0.0,-0.1,-0.048,-1.1,-3.8,-4.9,-0.1,/players/a/abdulma02.html
1998-99,24,SAC,NBA,SG,5,99.0,20.5,0.537,0.03,0.485,6.9,15.7,11.2,8.1,2.2,2.8,7.0,20.0,0.3,0.1,0.4,0.175,2.6,1.9,4.5,0.2,/players/a/abdulta01.html
2002-03,28,DAL,NBA,SG,8,79.0,12.6,0.373,0.067,0.267,15.2,15.4,15.3,13.0,0.0,0.0,2.9,19.7,0.1,0.0,0.1,0.034,0.8,-3.0,-2.2,0.0,/players/a/abdulta01.html
2005-06,29,SAC,NBA,PF,6,129.0,11.3,0.554,0.07,0.349,7.1,22.9,14.2,10.2,0.8,0.0,20.8,22.8,0.0,0.0,-0.1,-0.03,-3.5,-1.9,-5.4,-0.1,/players/a/abdursh01.html
2016-17,23,OKC,NBA,SG,5,80.0,7.0,0.485,0.739,0.174,2.6,10.0,6.1,7.1,0.0,0.0,0.0,13.3,0.1,0.0,0.1,0.033,-2.8,-1.9,-4.7,-0.1,/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,6,110.0,9.5,0.575,0.65,0.1,2.9,12.3,7.7,2.6,2.2,1.7,4.6,8.7,0.1,0.1,0.2,0.107,-1.3,1.9,0.5,0.1,/players/a/abrinal01.html
2020-21,21,MIA,NBA,PF,3,12.0,8.1,0.608,0.0,1.0,0.0,50.8,24.3,0.0,0.0,15.2,41.0,35.7,-0.1,0.0,-0.1,-0.309,-11.3,2.8,-8.5,0.0,/players/a/achiupr01.html
2021-22,22,TOR,NBA,C,6,167.0,10.8,0.541,0.308,0.192,5.4,17.1,10.7,5.7,0.3,3.3,13.8,18.2,0.0,0.0,0.0,-0.014,-2.4,-1.0,-3.3,-0.1,/players/a/achiupr01.html
1987-88,25,BOS,NBA,C,17,158.0,6.2,0.545,0.0,0.692,10.9,16.7,13.8,1.8,0.3,0.4,15.0,11.4,0.1,0.2,0.2,0.068,-4.1,-1.0,-5.1,-0.1,/players/a/acresma01.html
