SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
1990-91,22,POR,NBA,PF,5,0,13.0,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,/players/a/abdelal01.html,0.0
1991-92,23,POR,NBA,PF,8,0,25.0,5.0,10.0,0.5,0.0,0.0,5.0,10.0,0.5,0.5,2.0,4.0,0.5,0.0,4.0,4.0,2.0,0.0,0.0,2.0,4.0,12.0,/players/a/abdelal01.html,0.0
1992-93,24,BOS,NBA,PF,4,4,68.0,11.0,24.0,0.458,0.0,0.0,11.0,24.0,0.458,0.458,0.0,0.0,0.0,2.0,11.0,13.0,1.0,0.0,1.0,9.0,7.0,22.0,/players/a/abdelal01.html,0.0
1993-94,24,DEN,NBA,PG,12,12,339.0,57.0,154.0,0.37,12.0,37.0,45.0,117.0,0.385,0.409,29.0,31.0,0.935,3.0,15.0,18.0,30.0,5.0,1.0,14.0,29.0,155.0,/players/a/abdulma02.html,0.324
1994-95,25,DEN,NBA,PG,3,2,76.0,12.0,33.0,0.364,2.0,12.0,10.0,21.0,0.476,0.394,14.0,14.0,1.0,2.0,3.0,5.0,5.0,2.0,0.0,8.0,8.0,40.0,/players/a/abdulma02.html,0.167
1998-99,24,SAC,NBA,SG,5,5,99.0,15.0,33.0,0.455,0.0,1.0,15.0,32.0,0.469,0.455,13.0,16.0,0.813,6.0,13.0,19.0,4.0,4.0,4.0,3.0,8.0,43.0,/players/a/abdulta01.html,0.0
2002-03,28,DAL,NBA,SG,8,0,79.0,9.0,30.0,0.3,0.0,2.0,9.0,28.0,0.321,0.3,7.0,8.0,0.875,11.0,11.0,22.0,7.0,0.0,0.0,1.0,6.0,25.0,/players/a/abdulta01.html,0.0
2005-06,29,SAC,NBA,PF,6,0,129.0,23.0,43.0,0.535,0.0,3.0,23.0,40.0,0.575,0.535,9.0,15.0,0.6,8.0,21.0,29.0,7.0,2.0,0.0,13.0,27.0,55.0,/players/a/abdursh01.html,0.0
2016-17,23,OKC,NBA,SG,5,0,80.0,8.0,23.0,0.348,5.0,17.0,3.0,6.0,0.5,0.457,3.0,4.0,0.75,2.0,7.0,9.0,4.0,0.0,0.0,0.0,8.0,24.0,/players/a/abrinal01.html,0.294
2017-18,24,OKC,NBA,SG,6,0,110.0,8.0,20.0,0.4,6.0,13.0,2.0,7.0,0.286,0.55,2.0,2.0,1.0,3.0,13.0,16.0,2.0,5.0,2.0,1.0,11.0,24.0,/players/a/abrinal01.html,0.462
