,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
0,2012-13,Pitt,Big East,17,17,413,50,92,0.543,50,92,0.543,0,0,17,36,0.472,43,61,104,10,10,37,19,29,117,/players/steven-adams-1.html,0.0
1,2016-17,Kentucky,SEC,18,18,557,86,129,0.667,86,128,0.672,0,1,79,117,0.675,46,87,133,8,14,29,31,49,251,/players/edrice-adebayo-1.html,0.0
2,2016-17,Texas,Big 12,18,18,622,118,197,0.599,118,194,0.608,0,3,55,94,0.585,59,117,176,12,12,31,51,35,291,/players/jarrett-allen-1.html,0.0
3,2017-18,Dayton,A-10,16,0,213,28,46,0.609,27,41,0.659,1,5,26,46,0.565,14,27,41,6,3,11,18,27,83,/players/kostas-antetokounmpo-1.html,0.2
4,2015-16,Indiana,Big Ten,18,0,281,40,75,0.533,31,53,0.585,9,22,16,29,0.552,23,36,59,11,17,13,11,30,105,/players/og-anunoby-1.html,0.409
5,2016-17,Indiana,Big Ten,6,3,153,21,44,0.477,18,33,0.545,3,11,10,16,0.625,11,16,27,9,11,6,13,12,55,/players/og-anunoby-1.html,0.273
6,2017-18,Arizona,Pac-12,18,18,623,139,226,0.615,135,217,0.622,4,9,81,105,0.771,65,141,206,28,9,41,38,40,363,/players/deandre-ayton-1.html,0.444
7,2017-18,Duke,ACC,14,13,493,109,185,0.589,101,161,0.627,8,24,56,90,0.622,57,109,166,20,16,16,36,25,282,/players/marvin-bagleyiii-1.html,0.333
8,2016-17,UCLA,Pac-12,18,18,633,104,183,0.568,63,85,0.741,41,98,34,51,0.667,20,97,117,133,41,12,46,34,283,/players/lonzo-ball-1.html,0.418
9,2016-17,TCU,Big 12,18,0,309,36,76,0.474,28,48,0.583,8,28,8,12,0.667,13,35,48,13,3,5,19,35,88,/players/desmond-bane-1.html,0.286
10,2017-18,TCU,Big 12,18,17,564,84,158,0.532,54,91,0.593,30,67,43,52,0.827,10,59,69,47,17,3,31,42,241,/players/desmond-bane-1.html,0.448
11,2018-19,TCU,Big 12,18,18,666,112,228,0.491,75,147,0.51,37,81,29,33,0.879,30,68,98,35,22,6,28,50,290,/players/desmond-bane-1.html,0.457
12,2019-20,TCU,Big 12,18,18,648,110,252,0.437,52,124,0.419,58,128,24,31,0.774,22,86,108,74,23,11,45,39,302,/players/desmond-bane-1.html,0.453
13,2010-11,UNC,ACC,16,15,456,95,221,0.43,68,138,0.493,27,83,38,50,0.76,32,57,89,17,9,8,31,27,255,/players/harrison-barnes-1.html,0.325
14,2011-12,UNC,ACC,16,15,481,98,227,0.432,77,165,0.467,21,62,64,87,0.736,33,53,86,14,18,5,29,34,281,/players/harrison-barnes-1.html,0.339
15,2020-21,Florida State,ACC,14,2,335,59,117,0.504,54,95,0.568,5,22,27,40,0.675,23,41,64,58,21,8,29,32,150,/players/scottie-barnes-1.html,0.227
16,2011-12,Florida,SEC,16,16,553,69,159,0.434,47,89,0.528,22,70,70,85,0.824,20,92,112,30,22,15,31,38,230,/players/bradley-beal-1.html,0.314
17,2014-15,Oregon,Pac-12,17,14,440,40,65,0.615,40,65,0.615,0,0,9,18,0.5,33,71,104,23,17,40,17,51,89,/players/jordan-bell-1.html,0.0
18,2015-16,Oregon,Pac-12,18,1,350,51,83,0.614,51,83,0.614,0,0,16,33,0.485,26,58,84,22,14,26,29,47,118,/players/jordan-bell-1.html,0.0
19,2016-17,Oregon,Pac-12,18,18,509,86,131,0.656,85,125,0.68,1,6,29,44,0.659,44,93,137,44,29,31,23,34,202,/players/jordan-bell-1.html,0.167
20,2018-19,Villanova,Big East,18,15,562,61,126,0.484,30,53,0.566,31,73,9,16,0.563,45,55,100,22,18,3,12,41,162,/players/saddiq-bey-1.html,0.425
21,2019-20,Villanova,Big East,18,18,635,106,226,0.469,47,104,0.452,59,122,40,54,0.741,19,56,75,38,17,5,30,47,311,/players/saddiq-bey-1.html,0.484
22,2014-15,Kentucky,SEC,18,0,427,72,153,0.471,44,86,0.512,28,67,35,43,0.814,10,30,40,22,5,0,17,23,207,/players/devin-booker-2.html,0.418
23,2015-16,Oregon,Pac-12,18,17,471,75,134,0.56,55,76,0.724,20,58,50,66,0.758,41,80,121,7,15,55,13,54,220,/players/chris-boucher-1.html,0.345
24,2016-17,Oregon,Pac-12,18,1,404,74,154,0.481,50,87,0.575,24,67,23,43,0.535,21,74,95,6,5,41,15,47,195,/players/chris-boucher-1.html,0.358
25,2015-16,Villanova,Big East,18,0,361,36,65,0.554,29,41,0.707,7,24,28,34,0.824,12,39,51,14,17,12,9,48,107,/players/mikal-bridges-1.html,0.292
26,2016-17,Villanova,Big East,18,18,562,65,124,0.524,41,62,0.661,24,62,31,33,0.939,20,65,85,30,37,20,30,48,185,/players/mikal-bridges-1.html,0.387
27,2017-18,Villanova,Big East,18,18,607,116,226,0.513,71,114,0.623,45,112,51,58,0.879,24,67,91,39,25,16,27,46,328,/players/mikal-bridges-1.html,0.402
28,2011-12,Virginia,ACC,14,1,333,35,80,0.438,25,48,0.521,10,32,11,15,0.733,7,27,34,14,9,1,19,20,91,/players/malcolm-brogdon-1.html,0.313
29,2013-14,Virginia,ACC,18,18,600,87,195,0.446,65,142,0.458,22,53,71,80,0.888,22,82,104,58,23,2,17,33,267,/players/malcolm-brogdon-1.html,0.415
30,2014-15,Virginia,ACC,18,18,615,86,204,0.422,60,131,0.458,26,73,52,58,0.897,8,68,76,42,17,7,32,40,250,/players/malcolm-brogdon-1.html,0.356
31,2015-16,Virginia,ACC,18,18,626,125,249,0.502,86,154,0.558,39,95,70,77,0.909,8,65,73,46,17,3,32,39,359,/players/malcolm-brogdon-1.html,0.411
32,2010-11,Providence,Big East,18,17,696,162,344,0.471,125,230,0.543,37,114,107,139,0.77,37,69,106,45,22,20,57,55,468,/players/marshon-brooks-1.html,0.325
33,2015-16,California,Pac-12,18,18,526,95,206,0.461,76,151,0.503,19,55,77,119,0.647,18,83,101,41,14,16,52,52,286,/players/jaylen-brown-1.html,0.345
34,2014-15,Elon,CAA,18,11,498,80,217,0.369,52,141,0.369,28,76,81,112,0.723,27,61,88,59,22,8,61,51,269,/players/elijah-bryant-1.html,0.368
35,2016-17,BYU,WCC,16,7,434,68,149,0.456,45,82,0.549,23,67,52,67,0.776,11,49,60,43,15,6,26,38,211,/players/elijah-bryant-1.html,0.343
36,2017-18,BYU,WCC,18,18,654,107,221,0.484,62,105,0.59,45,116,73,84,0.869,6,120,126,45,24,10,47,39,332,/players/elijah-bryant-1.html,0.388
37,2011-12,Michigan,Big Ten,18,17,676,96,220,0.436,66,140,0.471,30,80,62,80,0.775,12,50,62,78,16,7,46,25,284,/players/trey-burke-1.html,0.375
38,2012-13,Michigan,Big Ten,18,18,659,124,273,0.454,86,179,0.48,38,94,77,97,0.794,10,49,59,116,36,8,36,36,363,/players/trey-burke-1.html,0.404
39,2010-11,Marquette,Big East,18,16,658,95,192,0.495,86,164,0.524,9,28,103,128,0.805,47,62,109,38,25,7,27,27,302,/players/jimmy-butler-1.html,0.321
