,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS
0,1988-89,LSU,SEC,32.0,1180.0,0.579,0.543,0.292,0.271,11.9,/players/mahmoud-abdul-rauf-1.html,0.0
1,1989-90,LSU,SEC,32.0,1202.0,0.584,0.527,0.372,0.317,13.3,/players/mahmoud-abdul-rauf-1.html,0.0
2,1995-96,California,Pac-10,28.0,972.0,0.571,0.528,0.053,0.626,14.4,/players/shareef-abdur-rahim-1.html,28.0
3,2012-13,Pitt,Big East,32.0,749.0,0.555,0.571,0.0,0.4,14.4,/players/steven-adams-1.html,32.0
4,2016-17,Kentucky,SEC,38.0,1145.0,0.624,0.599,0.0,0.831,13.9,/players/edrice-adebayo-1.html,38.0
5,2004-05,Texas,Big 12,16.0,355.0,0.67,0.663,0.0,0.779,19.2,/players/lamarcus-aldridge-1.html,16.0
6,2005-06,Texas,Big 12,37.0,1247.0,0.589,0.569,0.0,0.47,11.1,/players/lamarcus-aldridge-1.html,37.0
7,1995-96,Virginia,ACC,27.0,727.0,0.55,0.517,0.116,0.272,11.9,/players/courtney-alexander-1.html,0.0
8,1996-97,Virginia,ACC,26.0,732.0,0.511,0.479,0.266,0.234,7.6,/players/courtney-alexander-1.html,20.0
9,1998-99,Fresno State,WAC,32.0,1023.0,0.543,0.513,0.281,0.249,10.8,/players/courtney-alexander-1.html,0.0
10,1999-00,Fresno State,WAC,27.0,974.0,0.532,0.498,0.31,0.243,9.6,/players/courtney-alexander-1.html,27.0
11,2016-17,Texas,Big 12,33.0,1061.0,0.571,0.566,0.022,0.472,17.8,/players/jarrett-allen-1.html,33.0
12,1993-94,UConn,Big East,34.0,735.0,0.599,0.563,0.265,0.326,11.6,/players/ray-allen-1.html,0.0
13,1994-95,UConn,Big East,32.0,1051.0,0.589,0.571,0.367,0.211,10.0,/players/ray-allen-1.html,31.0
14,1995-96,UConn,Big East,35.0,1215.0,0.595,0.566,0.4,0.238,10.7,/players/ray-allen-1.html,35.0
15,2002-03,Oklahoma State,Big 12,32.0,998.0,0.527,0.488,0.208,0.416,17.1,/players/tony-allen-1.html,28.0
16,2003-04,Oklahoma State,Big 12,35.0,1107.0,0.564,0.531,0.183,0.479,16.5,/players/tony-allen-1.html,34.0
17,1992-93,Ohio State,Big Ten,22.0,587.0,0.562,0.484,0.222,0.563,20.0,/players/derek-anderson-1.html,8.0
18,1993-94,Ohio State,Big Ten,22.0,695.0,0.576,0.511,0.267,0.487,18.3,/players/derek-anderson-1.html,22.0
19,1995-96,Kentucky,SEC,36.0,700.0,0.605,0.559,0.257,0.443,15.5,/players/derek-anderson-1.html,24.0
20,1996-97,Kentucky,SEC,19.0,481.0,0.621,0.575,0.416,0.42,10.6,/players/derek-anderson-1.html,16.0
21,1989-90,Georgia Tech,ACC,35.0,1321.0,0.583,0.559,0.213,0.266,18.4,/players/kenny-anderson-1.html,35.0
22,1990-91,Georgia Tech,ACC,30.0,1167.0,0.535,0.488,0.291,0.294,13.5,/players/kenny-anderson-1.html,29.0
23,2006-07,California,Pac-10,33.0,1096.0,0.588,0.549,0.383,0.325,9.3,/players/ryan-anderson-1.html,33.0
24,2007-08,California,Pac-10,33.0,1082.0,0.618,0.559,0.333,0.424,11.6,/players/ryan-anderson-1.html,33.0
25,1992-93,Georgia,SEC,29.0,554.0,0.54,0.515,0.129,0.522,20.6,/players/shandon-anderson-1.html,0.0
26,1993-94,Georgia,SEC,30.0,859.0,0.528,0.494,0.105,0.435,21.8,/players/shandon-anderson-1.html,30.0
27,1994-95,Georgia,SEC,28.0,861.0,0.515,0.5,0.168,0.302,19.5,/players/shandon-anderson-1.html,29.0
28,1995-96,Georgia,SEC,31.0,878.0,0.585,0.563,0.159,0.437,16.5,/players/shandon-anderson-1.html,31.0
29,1987-88,Georgia,SEC,35.0,1161.0,0.543,0.51,0.091,0.241,19.4,/players/willie-anderson-1.html,0.0
30,2017-18,Dayton,A-10,29.0,438.0,0.575,0.584,0.149,0.634,22.9,/players/kostas-antetokounmpo-1.html,6.0
31,2002-03,Syracuse,Big East,35.0,1274.0,0.537,0.498,0.271,0.389,9.6,/players/carmelo-anthony-1.html,35.0
32,2004-05,UNLV,MWC,31.0,423.0,0.502,0.5,0.0,0.659,16.0,/players/joel-anthony-1.html,3.0
33,2006-07,UNLV,MWC,37.0,669.0,0.603,0.597,0.0,0.396,15.9,/players/joel-anthony-1.html,6.0
34,2015-16,Indiana,Big Ten,34.0,466.0,0.607,0.625,0.25,0.362,17.1,/players/og-anunoby-1.html,0.0
35,2016-17,Indiana,Big Ten,16.0,402.0,0.611,0.615,0.369,0.393,15.2,/players/og-anunoby-1.html,10.0
36,1999-00,Arizona,Pac-10,34.0,1093.0,0.541,0.499,0.315,0.358,15.3,/players/gilbert-arenas-1.html,31.0
37,2000-01,Arizona,Pac-10,36.0,1044.0,0.585,0.559,0.382,0.309,16.9,/players/gilbert-arenas-1.html,33.0
38,2003-04,UCLA,Pac-10,25.0,789.0,0.474,0.462,0.303,0.45,21.0,/players/trevor-ariza-1.html,23.0
39,1987-88,Iowa,Big Ten,34.0,1023.0,0.604,0.556,0.325,0.347,13.6,/players/bj-armstrong-1.html,34.0
40,1988-89,Iowa,Big Ten,32.0,1015.0,0.603,0.541,0.288,0.476,13.5,/players/bj-armstrong-1.html,31.0
41,1992-93,South Florida,Metro,27.0,867.0,0.539,0.518,0.457,0.326,24.5,/players/chucky-atkins-1.html,27.0
42,1993-94,South Florida,Metro,26.0,787.0,0.477,0.426,0.498,0.349,17.2,/players/chucky-atkins-1.html,25.0
43,1994-95,South Florida,Metro,30.0,1067.0,0.558,0.522,0.563,0.337,18.1,/players/chucky-atkins-1.html,0.0
44,1995-96,South Florida,CUSA,28.0,1064.0,0.573,0.533,0.543,0.348,16.3,/players/chucky-atkins-1.html,0.0
45,1987-88,UNLV,PCAA,34.0,884.0,0.6,0.578,0.01,0.569,21.3,/players/stacey-augmon-1.html,0.0
46,1988-89,UNLV,Big West,37.0,1091.0,0.589,0.569,0.242,0.395,15.6,/players/stacey-augmon-1.html,36.0
47,1989-90,UNLV,Big West,39.0,1246.0,0.597,0.574,0.132,0.463,16.4,/players/stacey-augmon-1.html,0.0
48,1990-91,UNLV,Big West,35.0,1062.0,0.656,0.637,0.216,0.371,12.3,/players/stacey-augmon-1.html,0.0
49,2006-07,Texas,Big 12,35.0,1245.0,0.588,0.515,0.297,0.522,21.2,/players/dj-augustin-1.html,35.0
50,2007-08,Texas,Big 12,38.0,1417.0,0.557,0.506,0.352,0.401,13.8,/players/dj-augustin-1.html,38.0
51,1989-90,Arizona State,Pac-10,31.0,848.0,0.572,0.547,0.003,0.5,17.2,/players/isaac-austin-1.html,0.0
52,1990-91,Arizona State,Pac-10,30.0,906.0,0.59,0.571,0.003,0.538,15.3,/players/isaac-austin-1.html,0.0
53,2005-06,Arizona State,Pac-10,27.0,688.0,0.536,0.494,0.009,0.382,15.9,/players/jeff-pendergraph-1.html,22.0
54,2006-07,Arizona State,Pac-10,30.0,1007.0,0.585,0.551,0.019,0.38,18.4,/players/jeff-pendergraph-1.html,29.0
55,2007-08,Arizona State,Pac-10,34.0,967.0,0.644,0.593,0.004,0.562,17.0,/players/jeff-pendergraph-1.html,34.0
56,2008-09,Arizona State,Pac-10,35.0,1139.0,0.69,0.66,0.003,0.483,10.4,/players/jeff-pendergraph-1.html,35.0
57,2017-18,Arizona,Pac-12,35.0,1172.0,0.65,0.625,0.078,0.424,11.3,/players/deandre-ayton-1.html,35.0
58,2017-18,Duke,ACC,33.0,1118.0,0.643,0.64,0.132,0.475,12.2,/players/marvin-bagleyiii-1.html,32.0
59,1989-90,Hartford,NAC,28.0,374.0,0.582,0.617,0.0,0.436,19.2,/players/vin-baker-1.html,0.0
60,1990-91,Hartford,NAC,29.0,899.0,0.531,0.491,0.0,0.459,13.1,/players/vin-baker-1.html,29.0
61,1991-92,Hartford,NAC,27.0,997.0,0.503,0.473,0.194,0.339,10.6,/players/vin-baker-1.html,27.0
62,1992-93,Hartford,NAC,28.0,1019.0,0.526,0.502,0.186,0.376,9.7,/players/vin-baker-1.html,28.0
63,2016-17,UCLA,Pac-12,36.0,1263.0,0.673,0.668,0.566,0.286,18.6,/players/lonzo-ball-1.html,36.0
64,2016-17,TCU,Big 12,39.0,807.0,0.617,0.591,0.399,0.283,14.8,/players/desmond-bane-1.html,13.0
65,2017-18,TCU,Big 12,33.0,1005.0,0.671,0.649,0.476,0.305,15.8,/players/desmond-bane-1.html,32.0
66,2018-19,TCU,Big 12,37.0,1315.0,0.607,0.582,0.374,0.175,9.6,/players/desmond-bane-1.html,37.0
67,2019-20,TCU,Big 12,32.0,1152.0,0.573,0.557,0.477,0.131,13.8,/players/desmond-bane-1.html,32.0
68,2002-03,Northeastern,AEC,28.0,901.0,0.523,0.469,0.392,0.371,14.8,/players/jose-barea-1.html,28.0
69,2003-04,Northeastern,AEC,26.0,890.0,0.502,0.464,0.437,0.313,12.6,/players/jose-barea-1.html,25.0
70,2004-05,Northeastern,AEC,30.0,996.0,0.523,0.48,0.381,0.3,17.4,/players/jose-barea-1.html,30.0
71,2005-06,Northeastern,CAA,29.0,974.0,0.508,0.464,0.435,0.316,18.5,/players/jose-barea-1.html,29.0
72,2010-11,UNC,ACC,37.0,1087.0,0.52,0.488,0.392,0.249,11.5,/players/harrison-barnes-1.html,36.0
73,2011-12,UNC,ACC,38.0,1111.0,0.528,0.487,0.263,0.374,10.8,/players/harrison-barnes-1.html,37.0
74,1998-99,UCLA,Pac-10,30.0,394.0,0.488,0.485,0.343,0.465,19.9,/players/matt-barnes-1.html,8.0
75,1999-00,UCLA,Pac-10,28.0,413.0,0.492,0.489,0.232,0.312,18.5,/players/matt-barnes-1.html,1.0
76,2000-01,UCLA,Pac-10,32.0,971.0,0.506,0.483,0.084,0.498,19.2,/players/matt-barnes-1.html,26.0
77,2001-02,UCLA,Pac-10,31.0,953.0,0.554,0.537,0.319,0.365,18.7,/players/matt-barnes-1.html,31.0
78,2020-21,Florida State,ACC,24.0,595.0,0.548,0.531,0.205,0.338,20.7,/players/scottie-barnes-1.html,7.0
79,1987-88,Boston College,Big East,33.0,1223.0,0.627,0.588,0.476,0.304,11.6,/players/dana-barros-1.html,0.0
80,1988-89,Boston College,Big East,29.0,1021.0,0.629,0.591,0.539,0.289,10.3,/players/dana-barros-1.html,0.0
81,1991-92,Oregon State,Pac-10,31.0,545.0,0.531,0.511,0.566,0.243,26.3,/players/brent-barry-1.html,13.0
82,1992-93,Oregon State,Pac-10,23.0,607.0,0.528,0.466,0.478,0.351,32.7,/players/brent-barry-1.html,17.0
83,1993-94,Oregon State,Pac-10,27.0,959.0,0.601,0.564,0.36,0.388,21.4,/players/brent-barry-1.html,27.0
84,1994-95,Oregon State,Pac-10,27.0,1012.0,0.644,0.588,0.375,0.528,16.3,/players/brent-barry-1.html,0.0
85,1997-98,Duke,ACC,36.0,886.0,0.6,0.551,0.135,0.607,14.040000000000001,/players/shane-battier-1.html,20.0
86,1998-99,Duke,ACC,37.0,881.0,0.661,0.639,0.45,0.469,11.1,/players/shane-battier-1.html,27.0
87,1999-00,Duke,ACC,34.0,1206.0,0.643,0.599,0.465,0.428,8.7,/players/shane-battier-1.html,34.0
88,2000-01,Duke,ACC,39.0,1363.0,0.624,0.587,0.555,0.358,8.8,/players/shane-battier-1.html,39.0
89,2005-06,Washington State,Pac-10,28.0,462.0,0.457,0.429,0.007,0.279,16.8,/players/aron-baynes-1.html,12.0
90,2006-07,Washington State,Pac-10,26.0,426.0,0.541,0.495,0.0,0.699,9.5,/players/aron-baynes-1.html,7.0
91,2007-08,Washington State,Pac-10,35.0,840.0,0.622,0.6,0.004,0.64,15.3,/players/aron-baynes-1.html,34.0
92,2008-09,Washington State,Pac-10,33.0,951.0,0.63,0.581,0.004,0.553,13.9,/players/aron-baynes-1.html,33.0
93,2011-12,Florida,SEC,37.0,1267.0,0.575,0.525,0.473,0.44,14.3,/players/bradley-beal-1.html,37.0
94,2007-08,Kansas State,Big 12,33.0,1041.0,0.61,0.563,0.165,0.484,11.8,/players/michael-beasley-1.html,33.0
95,2014-15,Oregon,Pac-12,35.0,831.0,0.594,0.597,0.0,0.151,19.8,/players/jordan-bell-1.html,20.0
96,2015-16,Oregon,Pac-12,31.0,636.0,0.572,0.576,0.013,0.342,21.4,/players/jordan-bell-1.html,4.0
97,2016-17,Oregon,Pac-12,39.0,1124.0,0.658,0.641,0.052,0.435,18.8,/players/jordan-bell-1.html,38.0
98,1994-95,Boston University,NAC,30.0,866.0,0.498,0.462,0.265,0.278,16.9,/players/raja-bell-1.html,23.0
99,1995-96,Boston University,NAC,28.0,932.0,0.535,0.482,0.311,0.194,14.4,/players/raja-bell-1.html,27.0
100,1997-98,Florida International,TAAC,29.0,856.0,0.544,0.495,0.324,0.391,12.360000000000001,/players/raja-bell-1.html,0.0
101,1998-99,Florida International,Sun Belt,29.0,1011.0,0.561,0.522,0.377,0.374,15.0,/players/raja-bell-1.html,0.0
102,2006-07,Arkansas,SEC,35.0,1203.0,0.582,0.531,0.538,0.393,14.4,/players/patrick-beverley-1.html,34.0
103,2007-08,Arkansas,SEC,35.0,1183.0,0.537,0.511,0.521,0.4,14.9,/players/patrick-beverley-1.html,33.0
104,2018-19,Villanova,Big East,36.0,1064.0,0.571,0.561,0.55,0.189,9.7,/players/saddiq-bey-1.html,29.0
105,2019-20,Villanova,Big East,31.0,1051.0,0.608,0.584,0.477,0.248,10.1,/players/saddiq-bey-1.html,31.0
106,1996-97,Arizona,Pac-10,34.0,1110.0,0.573,0.544,0.501,0.375,20.0,/players/mike-bibby-1.html,34.0
107,1997-98,Arizona,Pac-10,35.0,1119.0,0.582,0.55,0.442,0.318,13.1,/players/mike-bibby-1.html,35.0
108,1995-96,Colorado,Big 8,26.0,919.0,0.55,0.477,0.362,0.43,22.0,/players/chauncey-billups-1.html,25.0
109,1996-97,Colorado,Big 12,29.0,947.0,0.596,0.515,0.508,0.56,15.3,/players/chauncey-billups-1.html,29.0
110,2007-08,Pitt,Big East,37.0,963.0,0.559,0.537,0.0,0.476,15.6,/players/dejuan-blair-1.html,36.0
111,2008-09,Pitt,Big East,35.0,955.0,0.601,0.593,0.0,0.425,8.8,/players/dejuan-blair-1.html,35.0
112,1987-88,Oklahoma,Big 8,39.0,1347.0,0.552,0.534,0.384,0.218,14.7,/players/mookie-blaylock-1.html,0.0
113,1988-89,Oklahoma,Big 8,35.0,1359.0,0.542,0.531,0.41,0.167,13.5,/players/mookie-blaylock-1.html,0.0
114,2009-10,Kentucky,SEC,37.0,1122.0,0.566,0.54,0.41,0.394,23.2,/players/eric-bledsoe-1.html,35.0
115,2003-04,Utah,MWC,33.0,1002.0,0.598,0.584,0.038,0.381,20.2,/players/andrew-bogut-1.html,33.0
116,2004-05,Utah,MWC,35.0,1224.0,0.648,0.63,0.055,0.459,14.8,/players/andrew-bogut-1.html,35.0
117,1999-00,Florida,SEC,36.0,485.0,0.53,0.493,0.373,0.2,18.64,/players/matt-bonner-1.html,0.0
118,2000-01,Florida,SEC,31.0,883.0,0.599,0.582,0.36,0.366,12.9,/players/matt-bonner-1.html,17.0
119,2001-02,Florida,SEC,31.0,876.0,0.606,0.577,0.349,0.262,10.9,/players/matt-bonner-1.html,31.0
120,2002-03,Florida,SEC,33.0,1037.0,0.619,0.598,0.373,0.283,11.8,/players/matt-bonner-1.html,33.0
121,2014-15,Kentucky,SEC,38.0,816.0,0.6,0.571,0.491,0.223,10.4,/players/devin-booker-2.html,0.0
122,1993-94,Maryland,ACC,30.0,867.0,0.507,0.476,0.108,0.598,25.2,/players/keith-booth-1.html,30.0
123,1994-95,Maryland,ACC,34.0,950.0,0.52,0.46,0.083,0.592,22.3,/players/keith-booth-1.html,34.0
124,1995-96,Maryland,ACC,30.0,955.0,0.534,0.453,0.104,0.652,17.6,/players/keith-booth-1.html,30.0
125,1996-97,Maryland,ACC,32.0,1100.0,0.54,0.47,0.048,0.68,14.9,/players/keith-booth-1.html,32.0
126,1999-00,Duke,ACC,34.0,807.0,0.65,0.614,0.0,0.581,13.7,/players/carlos-boozer-1.html,30.0
127,2000-01,Duke,ACC,32.0,820.0,0.636,0.604,0.0,0.551,10.2,/players/carlos-boozer-1.html,28.0
128,2001-02,Duke,ACC,35.0,993.0,0.696,0.665,0.003,0.682,12.4,/players/carlos-boozer-1.html,35.0
129,2002-03,Georgia Tech,ACC,31.0,960.0,0.634,0.597,0.153,0.58,15.8,/players/chris-bosh-1.html,31.0
130,2015-16,Oregon,Pac-12,38.0,981.0,0.627,0.605,0.39,0.505,10.5,/players/chris-boucher-1.html,35.0
131,2016-17,Oregon,Pac-12,31.0,731.0,0.592,0.591,0.383,0.316,9.4,/players/chris-boucher-1.html,12.0
132,1989-90,Cal State Fullerton,Big West,18.0,98.0,0.55,0.477,0.227,0.591,19.9,/players/bruce-bowen-1.html,0.0
133,1990-91,Cal State Fullerton,Big West,28.0,849.0,0.469,0.407,0.254,0.508,17.2,/players/bruce-bowen-1.html,23.0
134,1991-92,Cal State Fullerton,Big West,28.0,969.0,0.526,0.463,0.141,0.518,14.9,/players/bruce-bowen-1.html,27.0
135,1992-93,Cal State Fullerton,Big West,27.0,987.0,0.533,0.487,0.135,0.632,13.059999999999999,/players/bruce-bowen-1.html,27.0
136,2009-10,Texas,Big 12,34.0,1003.0,0.496,0.489,0.304,0.179,11.5,/players/avery-bradley-1.html,32.0
137,1990-91,BYU,WAC,34.0,984.0,0.56,0.519,0.003,0.512,14.6,/players/shawn-bradley-1.html,34.0
138,1997-98,Duke,ACC,21.0,494.0,0.604,0.592,0.0,0.793,16.52,/players/elton-brand-1.html,18.0
139,1998-99,Duke,ACC,39.0,1141.0,0.649,0.62,0.0,0.623,11.2,/players/elton-brand-1.html,37.0
140,1989-90,Oregon,Pac-10,29.0,1067.0,0.56,0.525,0.234,0.322,17.9,/players/terrell-brandon-1.html,0.0
141,1990-91,Oregon,Pac-10,28.0,1108.0,0.578,0.527,0.214,0.336,13.7,/players/terrell-brandon-1.html,28.0
142,1988-89,Wyoming,WAC,31.0,809.0,0.544,0.513,0.26,0.495,13.419999999999998,/players/tim-breaux-1.html,0.0
143,1989-90,Wyoming,WAC,29.0,868.0,0.491,0.467,0.348,0.306,18.64,/players/tim-breaux-1.html,0.0
144,1990-91,Wyoming,WAC,32.0,983.0,0.543,0.49,0.199,0.42,15.040000000000001,/players/tim-breaux-1.html,0.0
145,1991-92,Wyoming,WAC,29.0,1017.0,0.599,0.573,0.208,0.546,13.36,/players/tim-breaux-1.html,0.0
146,1998-99,St. Bonaventure,A-10,29.0,821.0,0.453,0.397,0.459,0.346,18.3,/players/jr-bremer-1.html,7.0
147,1999-00,St. Bonaventure,A-10,23.0,568.0,0.547,0.529,0.509,0.387,18.0,/players/jr-bremer-1.html,0.0
148,2000-01,St. Bonaventure,A-10,30.0,1035.0,0.557,0.516,0.524,0.402,12.7,/players/jr-bremer-1.html,30.0
149,2001-02,St. Bonaventure,A-10,30.0,1140.0,0.55,0.491,0.475,0.418,11.9,/players/jr-bremer-1.html,30.0
150,2004-05,Florida,SEC,32.0,791.0,0.574,0.565,0.231,0.509,19.9,/players/corey-brewer-1.html,32.0
151,2005-06,Florida,SEC,39.0,1095.0,0.571,0.526,0.329,0.392,20.0,/players/corey-brewer-1.html,37.0
152,2006-07,Florida,SEC,37.0,1053.0,0.57,0.531,0.334,0.435,17.8,/players/corey-brewer-1.html,37.0
153,2015-16,Villanova,Big East,40.0,813.0,0.633,0.591,0.467,0.455,10.7,/players/mikal-bridges-1.html,0.0
154,2016-17,Villanova,Big East,36.0,1073.0,0.676,0.644,0.481,0.24,15.1,/players/mikal-bridges-1.html,33.0
155,2017-18,Villanova,Big East,40.0,1285.0,0.655,0.623,0.503,0.282,9.1,/players/mikal-bridges-1.html,40.0
156,2011-12,Virginia,ACC,28.0,626.0,0.514,0.465,0.428,0.314,19.4,/players/malcolm-brogdon-1.html,1.0
157,2013-14,Virginia,ACC,37.0,1163.0,0.545,0.474,0.328,0.397,10.9,/players/malcolm-brogdon-1.html,37.0
