,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS
0,1988-89,LSU,SEC,32.0,36.9,11.2,23.1,0.486,8.6,16.3,0.526,2.6,6.8,0.389,5.1,6.3,0.815,3.4,4.1,1.7,0.2,3.5,2.2,30.2,6.44,/players/mahmoud-abdul-rauf-1.html,0.0
1,1989-90,LSU,SEC,32.0,37.6,9.5,20.7,0.461,6.8,13.0,0.522,2.8,7.7,0.358,6.0,6.6,0.91,2.5,3.2,1.6,0.0,3.7,2.1,27.8,7.64,/players/mahmoud-abdul-rauf-1.html,0.0
2,1995-96,California,Pac-10,28.0,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,8.4,1.0,1.9,1.3,3.1,2.1,21.1,6.44,/players/shareef-abdur-rahim-1.html,28.0
3,2012-13,Pitt,Big East,32.0,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0.0,0.0,0.0,1.0,2.2,0.443,6.3,0.6,0.7,2.0,1.1,1.6,7.2,5.66,/players/steven-adams-1.html,32.0
4,2016-17,Kentucky,SEC,38.0,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0.0,0.0,0.0,4.1,6.2,0.653,8.0,0.8,0.7,1.5,1.7,2.6,13.0,10.49,/players/edrice-adebayo-1.html,38.0
5,2004-05,Texas,Big 12,16.0,22.2,3.6,5.4,0.663,3.6,5.4,0.663,0.0,0.0,0.0,2.8,4.2,0.657,5.9,0.9,1.1,1.5,1.8,3.1,9.9,7.56,/players/lamarcus-aldridge-1.html,16.0
6,2005-06,Texas,Big 12,37.0,33.7,5.9,10.4,0.569,5.9,10.4,0.569,0.0,0.0,0.0,3.2,4.9,0.646,9.2,0.5,1.4,2.0,1.6,2.5,15.0,6.99,/players/lamarcus-aldridge-1.html,37.0
7,1995-96,Virginia,ACC,27.0,26.9,5.4,11.2,0.487,4.8,9.9,0.483,0.7,1.3,0.514,2.3,3.0,0.768,4.5,1.3,0.7,0.3,1.7,2.1,13.9,11.64,/players/courtney-alexander-1.html,0.0
8,1996-97,Virginia,ACC,26.0,28.2,5.5,13.0,0.42,3.9,9.5,0.411,1.5,3.5,0.444,2.3,3.0,0.759,2.7,1.4,0.8,0.0,1.2,1.9,14.8,11.13,/players/courtney-alexander-1.html,20.0
9,1998-99,Fresno State,WAC,32.0,36.1,8.3,17.6,0.469,6.7,12.7,0.528,1.6,4.9,0.316,3.3,4.4,0.757,3.8,2.6,1.6,0.2,2.5,2.3,21.4,3.54,/players/courtney-alexander-1.html,0.0
