SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL
1990-91,22,POR,NBA,PF,43,0,6.7,1.3,2.7,0.474,0.0,0.0,0.0,1.3,2.7,0.474,0.474,0.6,1.0,0.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1,/players/a/abdelal01.html
1991-92,23,POR,NBA,PF,71,1,13.2,2.5,5.1,0.493,0.0,0.0,0.0,2.5,5.1,0.493,0.493,1.1,1.4,0.752,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1,/players/a/abdelal01.html
1992-93,24,TOT,NBA,PF,75,52,17.5,3.3,6.3,0.518,0.0,0.0,0.0,3.3,6.3,0.519,0.518,1.2,1.5,0.759,1.7,2.8,4.5,0.4,0.3,0.3,1.3,2.5,7.7,/players/a/abdelal01.html
1992-93,24,MIL,NBA,PF,12,0,13.3,2.2,4.7,0.464,0.0,0.1,0.0,2.2,4.6,0.473,0.464,1.0,1.3,0.75,1.0,2.1,3.1,0.8,0.5,0.3,1.1,2.0,5.3,/players/a/abdelal01.html
1992-93,24,BOS,NBA,PF,63,52,18.3,3.5,6.6,0.525,0.0,0.0,0.0,3.5,6.6,0.525,0.525,1.2,1.6,0.76,1.8,3.0,4.8,0.3,0.3,0.3,1.3,2.6,8.2,/players/a/abdelal01.html
1993-94,25,BOS,NBA,PF,13,0,12.2,1.8,4.2,0.436,0.0,0.0,0.0,1.8,4.2,0.436,0.436,1.2,1.9,0.64,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9,/players/a/abdelal01.html
1994-95,26,TOT,NBA,PF,54,0,9.4,2.2,4.3,0.511,0.0,0.0,0.0,2.2,4.2,0.515,0.511,0.4,0.6,0.571,0.7,1.4,2.1,0.2,0.3,0.2,0.8,1.9,4.7,/players/a/abdelal01.html
1994-95,26,SAC,NBA,PF,51,0,9.3,2.3,4.3,0.532,0.0,0.0,0.0,2.3,4.3,0.537,0.532,0.4,0.7,0.571,0.7,1.4,2.1,0.3,0.3,0.2,0.8,2.0,5.0,/players/a/abdelal01.html
1994-95,26,PHI,NBA,PF,3,0,10.0,0.3,3.7,0.091,0.0,0.0,0.0,0.3,3.7,0.091,0.091,0.0,0.0,0.0,1.0,1.7,2.7,0.0,0.0,0.0,1.7,0.7,0.7,/players/a/abdelal01.html
1990-91,21,DEN,NBA,PG,67,19,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.432,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,/players/a/abdulma02.html
