,2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,URL,eFG%
0,2.4,0.503,4.8,0.0,0.0,0.0,,0.3,0.3,2.2,2.4,0.502,4.8,0.9,0.701,1.3,256.0,53.0,NBA,12.5,1.1,1.9,,5.7,Career,0.3,,1.0,3.3,/players/a/abdelal01.html,0.502
1,,,,,,,,1.2,1.0,5.4,3.5,0.428,8.2,2.0,0.728,2.8,505.0,,NBA,21.8,2.4,2.2,,9.0,Career,0.6,,0.9,8.0,/players/a/abdulza01.html,
2,10.2,0.56,18.1,0.0,0.056,0.0,,3.6,2.6,7.6,10.2,0.559,18.1,4.3,0.721,6.0,1560.0,625.0,NBA,36.8,2.4,3.0,,24.6,Career,0.9,,2.7,11.2,/players/a/abdulka01.html,0.559
3,5.2,.460,11.3,0.8,.354,2.3,,3.5,0.1,1.5,6.0,.442,13.6,1.8,.905,2.0,586,336,NBA,26.7,0.4,1.9,,14.6,Career,0.8,,1.6,1.9,/players/a/abdulma02.html,.472
4,3.0,0.425,7.0,0.1,0.237,0.3,,1.1,0.4,2.1,3.1,0.417,7.3,1.6,0.703,2.2,236.0,145.0,NBA,20.4,1.2,2.1,,7.8,Career,0.8,,1.3,3.3,/players/a/abdulta01.html,0.422
5,6.4,0.48,13.2,0.2,0.297,0.6,,2.5,0.8,5.3,6.5,0.472,13.9,4.8,0.81,6.0,830.0,704.0,NBA,34.8,2.3,2.8,,18.1,Career,1.0,,2.6,7.5,/players/a/abdursh01.html,0.479
6,2.3,0.493,4.6,0.0,0.0,0.0,,1.2,0.2,2.0,2.3,0.492,4.6,1.0,0.747,1.4,319.0,,NBA,17.0,1.2,1.6,,5.6,Career,0.6,,0.5,3.2,/players/a/abernto01.html,0.492
7,,,,,,,,1.0,,,0.0,0.0,2.0,0.0,,0.0,1,,NBA,1.0,,1.0,,0.0,Career,,,,1.0,/players/a/ablefo01.html,
8,,,,,,,,0.7,,,3.6,0.237,15.3,2.3,0.686,3.3,56.0,,BAA,,,3.1,,9.5,Career,,,,,/players/a/abramjo01.html,
9,0.5,0.443,1.1,1.3,0.368,3.4,,0.5,0.1,1.1,1.8,0.387,4.5,0.5,0.88,0.6,174,16,NBA,16.0,0.3,1.7,,5.3,Career,0.5,,0.4,1.4,/players/a/abrinal01.html,0.525
10,2.5,0.494,5.0,0.4,0.357,1.2,,0.8,0.5,3.4,2.9,0.468,6.2,1.0,0.556,1.8,134.0,32.0,NBA,18.4,1.6,1.8,,7.2,Career,0.4,,0.9,5.1,/players/a/achiupr01.html,0.502
11,0.9,.388,2.2,0.3,.320,0.8,,0.5,0.1,0.7,1.1,.370,3.1,0.2,.500,0.3,30,0,NBA,7.8,0.3,0.4,,2.7,Career,0.2,,0.4,1.0,/players/a/ackeral01.html,.413
12,,,,,,,,0.8,,,0.5,0.222,2.3,0.5,0.536,1.0,28,,NBA,7.9,,1.5,,1.5,Career,,,,0.5,/players/a/ackerdo01.html,
13,1.4,0.505,2.7,0.0,0.538,0.0,,0.5,0.3,2.5,1.4,0.506,2.7,0.8,0.665,1.2,375.0,68.0,NBA,16.0,1.5,2.5,,3.6,Career,0.4,,0.6,4.1,/players/a/acresma01.html,0.509
14,,,,,,,,0.5,,,1.3,0.392,3.2,0.8,0.655,1.3,23,,NBA,8.5,,1.5,,3.3,Career,,,,2.0,/players/a/actonbu01.html,
15,1.2,0.506,2.3,0.5,0.35,1.6,,0.6,0.4,2.6,1.7,0.444,3.9,0.9,0.759,1.1,337.0,60.0,NBA,16.0,0.9,2.0,,4.9,Career,0.4,,0.6,3.5,/players/a/acyqu01.html,0.513
16,5.8,0.498,11.6,0.0,0.133,0.0,,4.1,0.8,5.0,5.8,0.498,11.6,2.5,0.788,3.2,988,342.0,NBA,27.5,2.0,3.3,,14.1,Career,1.3,,2.6,7.0,/players/a/adamsal01.html,0.498
17,3.5,.402,8.7,0.0,.000,0.1,,1.9,0.2,3.3,3.5,.402,8.7,1.8,.741,2.5,523,,TOT,25.8,1.5,3.3,,8.8,Career,1.1,,2.2,5.6,/players/a/adamsdo01.html,.402
18,3.3,0.5,6.6,0.0,0.235,0.1,,1.5,0.4,2.6,3.3,0.497,6.7,1.0,0.794,1.3,215,,ABA,18.2,1.5,1.7,,7.7,Career,0.6,,1.4,4.1,/players/a/adamsge01.html,0.499
19,1.1,.537,2.0,0.0,.000,0.0,,0.2,0.1,0.7,1.1,.534,2.0,0.4,.643,0.6,73,8,NBA,7.5,0.5,0.7,,2.5,Career,0.2,,0.4,1.2,/players/a/adamsha01.html,.534
20,0.3,0.333,1.0,0.6,0.329,1.9,,1.6,0.1,1.3,1.0,0.331,2.9,0.2,0.778,0.2,41.0,1.0,NBA,10.9,0.3,1.1,,2.7,Career,0.3,,0.7,1.5,/players/a/adamsja01.html,0.436
21,0.8,0.409,2.1,0.3,0.385,0.8,,0.6,0.2,0.7,1.2,0.402,2.9,0.5,0.607,0.9,32,0,NBA,8.2,0.3,0.8,,3.2,Career,0.6,,0.5,0.9,/players/a/adamsjo01.html,0.457
22,3.5,0.462,7.6,1.5,0.332,4.4,,6.4,0.1,2.3,5.0,0.415,12.0,3.3,0.849,3.9,653.0,510.0,NBA,31.3,0.6,1.8,,14.7,Career,1.7,,2.1,2.9,/players/a/adamsmi01.html,0.475
23,3.8,0.588,6.5,0.0,0.071,0.0,,1.5,0.9,4.4,3.8,0.587,6.6,1.6,0.547,2.9,664.0,599.0,NBA,26.8,3.6,2.5,,9.3,Career,0.9,,1.4,8.0,/players/a/adamsst01.html,0.587
