,HALL_OF_FAME,ALL_STAR,SCORING_CHAMP,TRB_CHAMP,BLK_CHAMP,NBA_CHAMP,ALL-NBA,ALL-DEFENSIVE,ALL-ROOKIE,ROY,FINALS_MVP,MVP,NBA_75TH_ANNIV._TEAM,COLLEGE_URL,URL,MOST_IMPROVED,1971_NBA_CHAMP,2008_NBA_CHAMP,2006_NBA_CHAMP,1976_NBA_CHAMP,2020_NBA_CHAMP,2019_NBA_CHAMP,AST_CHAMP,1981_NBA_CHAMP,AS_MVP,2009_NBA_CHAMP,1956_NBA_CHAMP,ROY_*,1973_ABA_CHAMP,1975_ABA_CHAMP,1979_NBA_CHAMP,2014_NBA_CHAMP,1978_NBA_CHAMP,2011_NBA_CHAMP,2015_NBA_CHAMP,1969_NBA_CHAMP,ALL-ABA,ABA_ALL-TIME_TEAM,2017_NBA_CHAMP,STL_CHAMP,1975_NBA_CHAMP,1976_ABA_CHAMP,1970_ABA_CHAMP,1990_NBA_CHAMP,2018_NBA_CHAMP,1973_NBA_CHAMP,2004_NBA_CHAMP,1971_ABA_CHAMP,1998_NBA_CHAMP,1969_ABA_CHAMP,1987_NBA_CHAMP,1995_NBA_CHAMP,1982_NBA_CHAMP,1994_NBA_CHAMP,2005_NBA_CHAMP,2021_NBA_CHAMP,1984_NBA_CHAMP,1980_NBA_CHAMP,1977_NBA_CHAMP,DEF._POY,1988_NBA_CHAMP,1986_NBA_CHAMP,2000_NBA_CHAMP,1983_NBA_CHAMP,SIXTH_MAN,2003_NBA_CHAMP,1972_NBA_CHAMP,1967_NBA_CHAMP,1947_BAA_CHAMP,ALL-BAA,1999_NBA_CHAMP,ABA_CHAMP,1951_NBA_CHAMP,ALL-BAA/NBA,1997_NBA_CHAMP,2016_NBA_CHAMP,1989_NBA_CHAMP,1974_NBA_CHAMP,2007_NBA_CHAMP,1968_NBA_CHAMP,2001_NBA_CHAMP,1950_NBA_CHAMP,1958_NBA_CHAMP,1996_NBA_CHAMP,1992_NBA_CHAMP,2012_NBA_CHAMP,1968_ABA_CHAMP,1991_NBA_CHAMP,1974_ABA_CHAMP,1955_NBA_CHAMP,1985_NBA_CHAMP,1970_NBA_CHAMP,2002_NBA_CHAMP,1993_NBA_CHAMP,BAA/NBA_CHAMP,1972_ABA_CHAMP,1957_NBA_CHAMP,2013_NBA_CHAMP,2010_NBA_CHAMP
0,1.0,19,2,1975-76,4,6,15,11,1969-70,1969-70,2,6,1.0,/players/kareem-abdul-jabbar-1.html,/players/a/abdulka01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,1990-91,,,,,/players/mahmoud-abdul-rauf-1.html,/players/a/abdulma02.html,1992-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,,,,,,,1996-97,,,,,/players/shareef-abdur-rahim-1.html,/players/a/abdursh01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1,,,,,,,1975-76,1975-76,,,,/players/alvan-adams-1.html,/players/a/adamsal01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1,,,,,,,,,,,,/players/michael-adams-1.html,/players/a/adamsmi01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,2013-14,,,,,/players/steven-adams-1.html,/players/a/adamsst01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1,,,,,,3,,,,,,/players/edrice-adebayo-1.html,/players/a/adebaba01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,,,,,,,,,,,,,/players/rick-adelman-1.html,/players/a/adelmri01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,3,,,,2,,,,,,,,/players/mark-aguirre-1.html,/players/a/aguirma01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1,,,,2,,,,,,,,/players/danny-ainge-1.html,/players/a/aingeda01.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
