,TEAM,FROM,TO,URL
0,Portland Trail Blazers,1991,1992,/players/a/abdelal01.html
1,Milwaukee Bucks,1993,1993,/players/a/abdelal01.html
2,Boston Celtics,1993,1994,/players/a/abdelal01.html
3,Sacramento Kings,1995,1995,/players/a/abdelal01.html
4,Philadelphia 76ers,1995,1995,/players/a/abdelal01.html
5,Cincinnati Royals,1969,1969,/players/a/abdulza01.html
6,Milwaukee Bucks,1969,1969,/players/a/abdulza01.html
7,Milwaukee Bucks,1970,1970,/players/a/abdulza01.html
8,Seattle SuperSonics,1971,1976,/players/a/abdulza01.html
9,Houston Rockets,1973,1973,/players/a/abdulza01.html
10,Houston Rockets,1974,1975,/players/a/abdulza01.html
11,Buffalo Braves,1977,1977,/players/a/abdulza01.html
12,Boston Celtics,1978,1978,/players/a/abdulza01.html
13,Houston Rockets,1978,1978,/players/a/abdulza01.html
14,Milwaukee Bucks,1970,1975,/players/a/abdulka01.html
15,Los Angeles Lakers,1976,1989,/players/a/abdulka01.html
16,Denver Nuggets,1991,1993,/players/a/abdulma02.html
17,Denver Nuggets,1994,1994,/players/a/abdulma02.html
18,Denver Nuggets,1995,1996,/players/a/abdulma02.html
19,Sacramento Kings,1997,1998,/players/a/abdulma02.html
20,Vancouver Grizzlies,2001,2001,/players/a/abdulma02.html
21,Sacramento Kings,1998,1999,/players/a/abdulta01.html
22,Orlando Magic,2000,2000,/players/a/abdulta01.html
23,Denver Nuggets,2000,2002,/players/a/abdulta01.html
24,Dallas Mavericks,2002,2003,/players/a/abdulta01.html
25,Vancouver Grizzlies,1997,2001,/players/a/abdursh01.html
26,Atlanta Hawks,2002,2004,/players/a/abdursh01.html
27,Portland Trail Blazers,2004,2005,/players/a/abdursh01.html
28,Sacramento Kings,2006,2008,/players/a/abdursh01.html
29,Los Angeles Lakers,1977,1978,/players/a/abernto01.html
30,Golden State Warriors,1979,1981,/players/a/abernto01.html
31,Indiana Pacers,1981,1981,/players/a/abernto01.html
32,Syracuse Nationals,1957,1957,/players/a/ablefo01.html
33,Pittsburgh Ironmen,1947,1947,/players/a/abramjo01.html
34,St. Louis Bombers,1948,1948,/players/a/abramjo01.html
35,Baltimore Bullets,1948,1948,/players/a/abramjo01.html
36,Oklahoma City Thunder,2017,2019,/players/a/abrinal01.html
37,Miami Heat,2021,2021,/players/a/achiupr01.html
