,COLLEGE_URL,CONF,FTr,G,SCHOOL,SEASON,TS%,3PAr,MP,TOV%,eFG%,DWS,GS,OWS,WS,WS/40,AST%,BLK%,BPM,DBPM,DRB%,OBPM,ORB%,PER,PProd,STL%,TRB%,USG%
0,/players/kareem-abdul-jabbar-1.html,,0.474,88.0,UCLA,Career,0.643,,,,,,,,,,,,,,,,,,,,,
1,/players/mahmoud-abdul-rauf-1.html,,0.293,64.0,LSU,Career,0.581,0.33,2382.0,12.6,0.535,,,,,,,,,,,,,,,,,
2,/players/shareef-abdur-rahim-1.html,,0.626,28.0,California,Career,0.571,0.053,972.0,14.4,0.528,2.3,28.0,3.1,5.4,0.221,,,,,,,,,,,,
3,/players/alvan-adams-1.html,,0.311,73.0,Oklahoma,Career,0.565,,,,,,,,,,,,,,,,,,,,,
4,/players/michael-adams-1.html,,0.377,119.0,Boston College,Career,0.518,,3524.0,17.4,,,0.0,,,,,,,,,,,,,,,
5,/players/steven-adams-1.html,,0.4,32.0,Pitt,Career,0.555,0.0,749.0,14.4,0.571,1.9,32.0,1.6,3.5,0.185,5.4,11.2,8.1,4.2,21.0,4.0,15.3,23.2,228.0,1.9,18.0,17.7
6,/players/edrice-adebayo-1.html,,0.831,38.0,Kentucky,Career,0.624,0.0,1145.0,13.9,0.599,2.3,38.0,3.3,5.6,0.196,4.7,4.9,8.2,3.6,17.3,4.5,11.1,22.0,488.0,1.2,14.2,18.5
7,/players/rick-adelman-1.html,,0.508,76.0,Loyola Marymount,Career,0.498,,,,,,,,,,,,,,,,,,,,,
8,/players/mark-aguirre-1.html,,0.375,89.0,DePaul,Career,0.585,,3324.0,14.0,,,,,,,,,,,,,,,,,,
9,/players/danny-ainge-1.html,,0.322,118.0,BYU,Career,0.571,,4258.0,14.9,,,,,,,,,,,,,,,,,,
10,/players/lamarcus-aldridge-1.html,,0.527,53.0,Texas,Career,0.605,0.0,1602.0,12.9,0.586,6.5,53.0,4.7,11.2,0.28,4.3,4.2,,,,,,,,,15.3,20.9
11,/players/courtney-alexander-1.html,,0.252,53.0,Virginia,,0.53,0.195,1459.0,9.7,0.497,1.9,20.0,3.0,4.8,0.132,,,,,,,,,,,,
12,/players/courtney-alexander-1.html,,0.246,59.0,Fresno State,,0.538,0.295,1997.0,10.2,0.506,1.7,27.0,5.0,6.7,0.135,,,,,,,,,,,,
13,/players/jarrett-allen-1.html,,0.472,33.0,Texas,Career,0.571,0.022,1061.0,17.8,0.566,1.7,33.0,1.5,3.3,0.124,5.7,5.0,5.2,2.6,18.9,2.6,10.9,20.3,428.0,1.0,14.9,22.6
14,/players/lucius-allen-1.html,,0.311,60.0,UCLA,Career,0.504,,,,,,,,,,,,,,,,,,,,,
15,/players/ray-allen-1.html,,0.247,101.0,UConn,Career,0.594,0.359,3001.0,10.7,0.567,3.3,66.0,5.0,8.3,,,,,,,,,,,,,
16,/players/tony-allen-1.html,,0.449,67.0,Oklahoma State,Career,0.547,0.195,2105.0,16.8,0.51,6.3,62.0,4.6,10.8,0.206,19.0,1.7,,,,,,,,,9.6,26.1
17,/players/derek-anderson-1.html,,0.518,44.0,Ohio State,,0.57,0.249,1282.0,19.0,0.5,,30.0,,,,,,,,,,,,,,,
18,/players/derek-anderson-1.html,,0.432,55.0,Kentucky,,0.613,0.336,1181.0,13.1,0.567,3.5,40.0,4.5,7.9,,,,,,,,,,,,,
19,/players/greg-anderson-1.html,,0.437,123.0,Houston,Career,0.559,0.0,3457.0,14.5,,,60.0,,,,,,,,,,,,,,,
20,/players/jerome-anderson-2.html,,0.291,77.0,West Virginia,Career,0.491,,1830.0,,,,,,,,16.2,,,,,,,,,,6.9,
21,/players/kenny-anderson-1.html,,0.281,65.0,Georgia Tech,Career,0.557,0.255,2488.0,15.8,0.521,,64.0,,,,,,,,,,,,,,,
22,/players/ryan-anderson-1.html,,0.379,66.0,California,Career,0.605,0.356,2178.0,10.6,0.554,2.7,66.0,7.5,10.2,0.188,9.7,1.1,,,,,,,,,17.9,29.4
23,/players/shandon-anderson-1.html,,0.415,118.0,Georgia,Career,0.543,0.141,3152.0,19.5,0.518,2.3,90.0,2.7,5.0,,,,,,,,,,,,,
24,/players/willie-anderson-1.html,,0.258,107.0,Georgia,Career,0.55,0.099,2781.0,19.8,,,29.0,,,,,,,,,,,,,,,
25,/players/kostas-antetokounmpo-1.html,,0.634,29.0,Dayton,Career,0.575,0.149,438.0,22.9,0.584,0.5,6.0,0.2,0.7,0.062,5.9,8.3,-2.1,1.2,16.9,-3.3,7.3,13.7,142.0,1.0,12.3,20.9
26,/players/carmelo-anthony-1.html,,0.389,35.0,Syracuse,Career,0.537,0.271,1274.0,9.6,0.498,3.1,35.0,2.7,5.8,0.183,11.9,1.5,,,,,,,,,14.0,29.3
27,/players/joel-anthony-1.html,,0.461,68.0,UNLV,Career,0.576,0.0,1092.0,15.9,0.573,4.7,9.0,1.3,6.0,0.22,,,,,,,,,,,,
28,/players/og-anunoby-1.html,,0.378,50.0,Indiana,Career,0.609,0.311,868.0,16.1,0.62,1.6,10.0,2.0,3.6,0.165,8.6,5.5,8.4,3.9,13.8,4.5,10.0,21.8,329.0,3.2,12.0,19.0
29,/players/tiny-archibald-1.html,,0.556,73.0,UTEP,Career,0.574,,,,,,,,,,,,,,,,,,,,,
30,/players/jim-ard-1.html,,0.443,76.0,Cincinnati,Career,0.512,,2580.0,,,,,,,,,,,,,,,,,,,
31,/players/gilbert-arenas-1.html,,0.333,70.0,Arizona,Career,0.563,0.349,2137.0,16.1,0.53,4.3,64.0,5.4,9.8,0.183,,,,,,,,,,,,
32,/players/trevor-ariza-1.html,,0.45,25.0,UCLA,Career,0.474,0.303,789.0,21.0,0.462,0.8,23.0,0.2,1.0,0.052,,,,,,,,,,,,
33,/players/paul-arizin-1.html,,1.156,80.0,Villanova,Career,1.211,,,,,,,,,,,,,,,,,,,,,
34,/players/bj-armstrong-1.html,,0.409,130.0,Iowa,Career,0.602,0.259,3265.0,15.3,,,103.0,,,,,,,,,,,,,,,
35,/players/bob-arnzen-1.html,,0.301,82.0,Notre Dame,Career,0.53,,,,,,,,,,,,,,,,,,,,,
36,/players/chucky-atkins-1.html,,0.341,111.0,South Florida,Career,0.543,0.525,3785.0,18.6,0.505,1.3,52.0,3.3,4.6,,,,,,,,,,,,,
37,/players/stacey-augmon-1.html,,0.433,145.0,UNLV,Career,0.611,0.169,4283.0,15.9,0.591,,36.0,,,,,,,,,,,,,,,
38,/players/dj-augustin-1.html,,0.447,73.0,Texas,Career,0.569,0.331,2662.0,16.9,0.51,4.5,73.0,6.2,10.7,0.161,34.3,0.2,,,,,,,,,4.2,20.9
39,/players/isaac-austin-1.html,,0.52,61.0,Arizona State,Career,0.581,0.003,1754.0,16.2,0.559,,,,,,,,,,,,,,,,,
40,/players/williambird-averitt-1.html,,0.313,49.0,Pepperdine,Career,0.482,,,13.1,,,,,,,,,,,,,,,,,,
41,/players/dennis-awtrey-1.html,,0.479,84.0,Santa Clara,Career,0.61,,,,,,,,,,,,,,,,,,,,,
42,/players/jeff-pendergraph-1.html,,0.454,126.0,Arizona State,Career,0.62,0.009,3801.0,15.3,0.58,7.2,120.0,12.0,19.1,0.201,6.7,2.8,,,,,,,,,16.1,22.3
43,/players/deandre-ayton-1.html,,0.424,35.0,Arizona,Career,0.65,0.078,1172.0,11.3,0.625,2.1,35.0,5.5,7.6,0.259,10.2,6.1,11.0,2.4,28.2,8.6,13.5,32.6,666.0,1.0,21.4,26.6
