,SEASON,SCHOOL,CONF,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,COLLEGE_URL
0,2012-13,Pitt,Big East,17,17,413,20.7,0.536,0.543,0.0,0.391,117,14.4,20.3,17.4,5.3,1.5,11.2,14.8,17.0,0.7,0.9,1.6,0.157,/players/steven-adams-1.html
1,2016-17,Kentucky,SEC,18,18,557,23.3,0.68,0.667,0.008,0.907,234,9.3,17.0,13.2,2.6,1.4,5.2,14.4,18.3,1.8,1.1,2.8,0.203,/players/edrice-adebayo-1.html
2,2016-17,Texas,Big 12,18,18,622,23.2,0.602,0.599,0.015,0.477,273,11.4,22.2,16.8,4.4,1.1,5.3,17.4,24.0,1.2,0.8,2.0,0.127,/players/jarrett-allen-1.html
3,2017-18,Dayton,A-10,16,0,213,16.4,0.612,0.62,0.109,1.0,79,9.2,16.1,12.8,5.5,0.9,5.8,21.0,22.0,0.3,0.1,0.4,0.082,/players/kostas-antetokounmpo-1.html
4,2015-16,Indiana,Big Ten,18,0,281,22.5,0.591,0.593,0.293,0.387,101,10.1,15.2,12.7,7.2,3.6,5.0,11.0,18.1,0.7,0.6,1.3,0.186,/players/og-anunoby-1.html
5,2016-17,Indiana,Big Ten,6,3,153,18.7,0.533,0.511,0.25,0.364,56,8.7,12.3,10.5,11.2,4.2,4.3,20.1,21.1,0.2,0.1,0.3,0.082,/players/og-anunoby-1.html
6,2017-18,Arizona,Pac-12,18,18,623,32.4,0.658,0.624,0.04,0.465,344,14.0,26.5,20.7,9.5,0.8,7.0,12.1,25.8,2.9,1.0,3.8,0.247,/players/deandre-ayton-1.html
7,2017-18,Duke,ACC,14,13,493,29.3,0.619,0.611,0.13,0.486,262,13.5,22.7,18.4,8.4,1.9,3.3,13.6,26.2,1.7,1.0,2.8,0.226,/players/marvin-bagleyiii-1.html
8,2016-17,UCLA,Pac-12,18,18,633,27.2,0.683,0.68,0.536,0.279,317,3.7,15.6,10.0,31.5,3.5,1.9,18.2,19.1,2.5,1.0,3.5,0.222,/players/lonzo-ball-1.html
9,2016-17,TCU,Big 12,18,0,309,9.8,0.539,0.526,0.368,0.158,82,5.2,13.4,9.4,8.1,0.6,1.6,18.9,16.9,0.2,0.1,0.3,0.037,/players/desmond-bane-1.html
10,2017-18,TCU,Big 12,18,17,564,18.7,0.66,0.627,0.424,0.329,216,2.2,12.6,7.4,15.0,1.7,0.5,14.5,18.9,1.6,0.2,1.8,0.13,/players/desmond-bane-1.html
11,2018-19,TCU,Big 12,18,18,666,19.5,0.595,0.572,0.355,0.145,262,5.1,12.4,8.7,11.5,1.9,1.0,10.3,20.5,1.8,0.4,2.2,0.131,/players/desmond-bane-1.html
12,2019-20,TCU,Big 12,18,18,648,22.5,0.566,0.552,0.508,0.123,288,4.0,16.2,9.9,32.4,2.2,1.9,14.4,25.9,1.8,0.7,2.4,0.15,/players/desmond-bane-1.html
13,2010-11,UNC,ACC,16,15,456,20.2,0.521,0.491,0.376,0.226,227,8.0,13.6,10.9,7.8,1.1,1.7,11.2,28.4,1.1,0.7,1.8,0.157,/players/harrison-barnes-1.html
14,2011-12,UNC,ACC,16,15,481,22.1,0.524,0.478,0.273,0.383,249,7.7,12.1,9.9,5.8,2.1,1.1,9.8,28.7,1.5,0.8,2.3,0.191,/players/harrison-barnes-1.html
