,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
0,2012-13,Pitt,Big East,17,17,24.3,2.9,5.4,0.543,2.9,5.4,0.543,0.0,0.0,1.0,2.1,0.472,2.5,3.6,6.1,0.6,0.6,2.2,1.1,1.7,6.9,/players/steven-adams-1.html,
1,2016-17,Kentucky,SEC,18,18,30.9,4.8,7.2,0.667,4.8,7.1,0.672,0.0,0.1,4.4,6.5,0.675,2.6,4.8,7.4,0.4,0.8,1.6,1.7,2.7,13.9,/players/edrice-adebayo-1.html,0.0
2,2016-17,Texas,Big 12,18,18,34.6,6.6,10.9,0.599,6.6,10.8,0.608,0.0,0.2,3.1,5.2,0.585,3.3,6.5,9.8,0.7,0.7,1.7,2.8,1.9,16.2,/players/jarrett-allen-1.html,0.0
3,2017-18,Dayton,A-10,16,0,13.3,1.8,2.9,0.609,1.7,2.6,0.659,0.1,0.3,1.6,2.9,0.565,0.9,1.7,2.6,0.4,0.2,0.7,1.1,1.7,5.2,/players/kostas-antetokounmpo-1.html,0.2
4,2015-16,Indiana,Big Ten,18,0,15.6,2.2,4.2,0.533,1.7,2.9,0.585,0.5,1.2,0.9,1.6,0.552,1.3,2.0,3.3,0.6,0.9,0.7,0.6,1.7,5.8,/players/og-anunoby-1.html,0.409
5,2016-17,Indiana,Big Ten,6,3,25.5,3.5,7.3,0.477,3.0,5.5,0.545,0.5,1.8,1.7,2.7,0.625,1.8,2.7,4.5,1.5,1.8,1.0,2.2,2.0,9.2,/players/og-anunoby-1.html,0.273
6,2017-18,Arizona,Pac-12,18,18,34.6,7.7,12.6,0.615,7.5,12.1,0.622,0.2,0.5,4.5,5.8,0.771,3.6,7.8,11.4,1.6,0.5,2.3,2.1,2.2,20.2,/players/deandre-ayton-1.html,0.444
7,2017-18,Duke,ACC,14,13,35.2,7.8,13.2,0.589,7.2,11.5,0.627,0.6,1.7,4.0,6.4,0.622,4.1,7.8,11.9,1.4,1.1,1.1,2.6,1.8,20.1,/players/marvin-bagleyiii-1.html,0.333
8,2016-17,UCLA,Pac-12,18,18,35.2,5.8,10.2,0.568,3.5,4.7,0.741,2.3,5.4,1.9,2.8,0.667,1.1,5.4,6.5,7.4,2.3,0.7,2.6,1.9,15.7,/players/lonzo-ball-1.html,0.418
9,2016-17,TCU,Big 12,18,0,17.2,2.0,4.2,0.474,1.6,2.7,0.583,0.4,1.6,0.4,0.7,0.667,0.7,1.9,2.7,0.7,0.2,0.3,1.1,1.9,4.9,/players/desmond-bane-1.html,0.286
