,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS,OWS,DWS,WS,WS/40,PER,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OBPM,DBPM,BPM
0,1988-89,LSU,SEC,32.0,1180.0,0.579,0.543,0.292,0.271,11.9,/players/mahmoud-abdul-rauf-1.html,,,,,,,,,,,,,,,,,
1,1989-90,LSU,SEC,32.0,1202.0,0.584,0.527,0.372,0.317,13.3,/players/mahmoud-abdul-rauf-1.html,,,,,,,,,,,,,,,,,
2,1995-96,California,Pac-10,28.0,972.0,0.571,0.528,0.053,0.626,14.4,/players/shareef-abdur-rahim-1.html,28.0,3.1,2.3,5.4,0.221,,,,,,,,,,,,
3,1981-82,Boston College,Big East,26.0,379.0,0.523,,,0.592,17.5,/players/michael-adams-1.html,0.0,,,,,,,,,,,,,,,,
4,1982-83,Boston College,Big East,32.0,1075.0,0.539,,,0.388,19.6,/players/michael-adams-1.html,,,,,,,,,,,,,,,,,
5,1983-84,Boston College,Big East,30.0,1026.0,0.509,,,0.401,15.5,/players/michael-adams-1.html,,,,,,,,,,,,,,,,,
6,1984-85,Boston College,Big East,31.0,1044.0,0.506,,,0.288,17.0,/players/michael-adams-1.html,,,,,,,,,,,,,,,,,
7,2012-13,Pitt,Big East,32.0,749.0,0.555,0.571,0.0,0.4,14.4,/players/steven-adams-1.html,32.0,1.6,1.9,3.5,0.185,23.2,228.0,15.3,21.0,18.0,5.4,1.9,11.2,17.7,4.0,4.2,8.1
8,2016-17,Kentucky,SEC,38.0,1145.0,0.624,0.599,0.0,0.831,13.9,/players/edrice-adebayo-1.html,38.0,3.3,2.3,5.6,0.196,22.0,488.0,11.1,17.3,14.2,4.7,1.2,4.9,18.5,4.5,3.6,8.2
9,2004-05,Texas,Big 12,16.0,355.0,0.67,0.663,0.0,0.779,19.2,/players/lamarcus-aldridge-1.html,16.0,1.3,1.2,2.5,0.286,,,,,14.6,8.0,,4.5,20.0,,,
10,2005-06,Texas,Big 12,37.0,1247.0,0.589,0.569,0.0,0.47,11.1,/players/lamarcus-aldridge-1.html,37.0,3.4,5.3,8.7,0.278,,,,,15.5,3.3,,4.1,21.1,,,
