,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS,ORB,DRB,Unnamed: 27,Unnamed: 25
0,1988-89,LSU,SEC,32,36.9,11.2,23.1,0.486,8.6,16.3,0.526,2.6,6.8,0.389,5.1,6.3,0.815,3.4,4.1,1.7,0.2,3.5,2.2,30.2,6.44,/players/mahmoud-abdul-rauf-1.html,,,,,
1,1989-90,LSU,SEC,32,37.6,9.5,20.7,0.461,6.8,13.0,0.522,2.8,7.7,0.358,6.0,6.6,0.91,2.5,3.2,1.6,0.0,3.7,2.1,27.8,7.64,/players/mahmoud-abdul-rauf-1.html,,,,,
2,1995-96,California,Pac-10,28,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,8.4,1.0,1.9,1.3,3.1,2.1,21.1,6.44,/players/shareef-abdur-rahim-1.html,28.0,,,,
3,1981-82,Boston College,Big East,26,14.6,2.0,4.0,0.495,,,,,,,1.4,2.3,0.59,1.2,1.5,1.1,0.1,1.1,1.1,5.3,5.83,/players/michael-adams-1.html,0.0,,,,
4,1982-83,Boston College,Big East,32,33.6,6.1,12.7,0.481,,,,,,,4.0,4.9,0.809,2.7,5.3,2.8,0.0,3.7,2.2,16.2,3.94,/players/michael-adams-1.html,,,,,
5,1983-84,Boston College,Big East,30,34.2,6.5,14.3,0.455,,,,,,,4.3,5.7,0.756,3.4,3.5,2.9,0.2,3.1,2.2,17.3,5.25,/players/michael-adams-1.html,,,,,
6,1984-85,Boston College,Big East,31,33.7,6.2,13.3,0.467,,,,,,,2.9,3.8,0.748,3.3,5.2,2.3,0.1,3.1,2.4,15.3,6.24,/players/michael-adams-1.html,,,,,
7,2012-13,Pitt,Big East,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0.0,0.0,,1.0,2.2,0.443,6.3,0.6,0.7,2.0,1.1,1.6,7.2,5.66,/players/steven-adams-1.html,32.0,2.8,3.5,,
8,2016-17,Kentucky,SEC,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0.0,0.0,,4.1,6.2,0.653,8.0,0.8,0.7,1.5,1.7,2.6,13.0,10.49,/players/edrice-adebayo-1.html,38.0,3.1,4.9,,
9,2004-05,Texas,Big 12,16,22.2,3.6,5.4,0.663,3.6,5.4,0.663,0.0,0.0,,2.8,4.2,0.657,5.9,0.9,1.1,1.5,1.8,3.1,9.9,7.56,/players/lamarcus-aldridge-1.html,16.0,2.7,3.3,,
10,2005-06,Texas,Big 12,37,33.7,5.9,10.4,0.569,5.9,10.4,0.569,0.0,0.0,,3.2,4.9,0.646,9.2,0.5,1.4,2.0,1.6,2.5,15.0,6.99,/players/lamarcus-aldridge-1.html,37.0,3.6,5.5,,
11,1995-96,Virginia,ACC,27,26.9,5.4,11.2,.487,4.8,9.9,.483,0.7,1.3,.514,2.3,3.0,.768,4.5,1.3,0.7,0.3,1.7,2.1,13.9,11.64,/players/courtney-alexander-1.html,,,,,
12,1996-97,Virginia,ACC,26,28.2,5.5,13.0,.420,3.9,9.5,.411,1.5,3.5,.444,2.3,3.0,.759,2.7,1.4,0.8,0.0,1.2,1.9,14.8,11.13,/players/courtney-alexander-1.html,20,,,,
13,1997-98,,,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,/players/courtney-alexander-1.html,Transfer,Transfer,Transfer,Transfer,
14,1998-99,Fresno State,WAC,32,32.0,8.3,17.6,.469,6.7,12.7,.528,1.6,4.9,.316,3.3,4.4,.757,3.8,2.6,1.6,0.2,2.4,1.0,21.4,3.54,/players/courtney-alexander-1.html,,,,,
15,1999-00,Fresno State,WAC,27,36.1,9.3,20.9,.447,7.2,14.4,.499,2.1,6.5,.331,4.0,5.1,.781,4.7,3.5,1.4,0.1,2.5,2.3,24.8,3.58,/players/courtney-alexander-1.html,27,,,,
16,1988-89,LSU,SEC,32,36.9,11.2,23.1,0.486,8.6,16.3,0.526,2.6,6.8,0.389,5.1,6.3,0.815,3.4,4.1,1.7,0.2,3.5,2.2,30.2,6.44,/players/mahmoud-abdul-rauf-1.html,,,,,
17,1989-90,LSU,SEC,32,37.6,9.5,20.7,0.461,6.8,13.0,0.522,2.8,7.7,0.358,6.0,6.6,0.91,2.5,3.2,1.6,0.0,3.7,2.1,27.8,7.64,/players/mahmoud-abdul-rauf-1.html,,,,,
18,1995-96,California,Pac-10,28,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,8.4,1.0,1.9,1.3,3.1,2.1,21.1,6.44,/players/shareef-abdur-rahim-1.html,28,,,,
19,1981-82,Boston College,Big East,26,14.6,2.0,4.0,0.495,,,,,,,1.4,2.3,0.59,1.2,1.5,1.1,0.1,1.1,1.1,5.3,5.83,/players/michael-adams-1.html,0.0,,,,
20,1982-83,Boston College,Big East,32,33.6,6.1,12.7,0.481,,,,,,,4.0,4.9,0.809,2.7,5.3,2.8,0.0,3.7,2.2,16.2,3.94,/players/michael-adams-1.html,,,,,
