,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
0,1990-91,22.0,POR,NBA,PF,5.0,0.0,2.6,0.4,1.2,0.333,0.0,0.0,0.4,1.2,0.333,0.333,0.0,0.0,,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,/players/a/abdelal01.html,
1,1991-92,23.0,POR,NBA,PF,8.0,0.0,3.1,0.6,1.3,0.5,0.0,0.0,0.6,1.3,0.5,0.5,0.3,0.5,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5,/players/a/abdelal01.html,
2,1992-93,24.0,BOS,NBA,PF,4.0,4.0,17.0,2.8,6.0,0.458,0.0,0.0,2.8,6.0,0.458,0.458,0.0,0.0,,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5,/players/a/abdelal01.html,
3,1993-94,24.0,DEN,NBA,PG,12.0,12.0,28.3,4.8,12.8,0.37,1.0,3.1,3.8,9.8,0.385,0.409,2.4,2.6,0.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9,/players/a/abdulma02.html,0.324
4,1994-95,25.0,DEN,NBA,PG,3.0,2.0,25.3,4.0,11.0,0.364,0.7,4.0,3.3,7.0,0.476,0.394,4.7,4.7,1.0,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3,/players/a/abdulma02.html,0.167
5,1998-99,24.0,SAC,NBA,SG,5.0,5.0,19.8,3.0,6.6,0.455,0.0,0.2,3.0,6.4,0.469,0.455,2.6,3.2,0.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6,/players/a/abdulta01.html,0.0
6,2002-03,28.0,DAL,NBA,SG,8.0,0.0,9.9,1.1,3.8,0.3,0.0,0.3,1.1,3.5,0.321,0.3,0.9,1.0,0.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1,/players/a/abdulta01.html,0.0
7,2005-06,29.0,SAC,NBA,PF,6.0,0.0,21.5,3.8,7.2,0.535,0.0,0.5,3.8,6.7,0.575,0.535,1.5,2.5,0.6,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2,/players/a/abdursh01.html,0.0
8,2016-17,23.0,OKC,NBA,SG,5.0,0.0,16.0,1.6,4.6,0.348,1.0,3.4,0.6,1.2,0.5,0.457,0.6,0.8,0.75,0.4,1.4,1.8,0.8,0.0,0.0,0.0,1.6,4.8,/players/a/abrinal01.html,0.294
9,2017-18,24.0,OKC,NBA,SG,6.0,0.0,18.3,1.3,3.3,0.4,1.0,2.2,0.3,1.2,0.286,0.55,0.3,0.3,1.0,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0,/players/a/abrinal01.html,0.462
10,2020-21,21.0,MIA,NBA,PF,3.0,0.0,4.0,1.0,1.3,0.75,0.0,0.0,1.0,1.3,0.75,0.75,0.3,1.3,0.25,0.0,2.0,2.0,0.0,0.0,0.7,1.3,0.3,2.3,/players/a/achiupr01.html,
11,2021-22,22.0,TOR,NBA,C,6.0,1.0,27.8,4.2,8.7,0.481,0.8,2.7,3.3,6.0,0.556,0.529,1.0,1.7,0.6,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,/players/a/achiupr01.html,0.313
12,1987-88,25.0,BOS,NBA,C,17.0,0.0,9.3,0.8,1.5,0.538,0.0,0.0,0.8,1.5,0.538,0.538,0.5,1.1,0.5,0.8,1.3,2.1,0.1,0.1,0.1,0.4,1.9,2.2,/players/a/acresma01.html,
13,1988-89,26.0,BOS,NBA,C,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,/players/a/acresma01.html,0.0
14,2006-07,22.0,NJN,NBA,SG,6.0,0.0,1.5,0.2,0.3,0.5,0.0,0.0,0.2,0.3,0.5,0.5,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.3,/players/a/adamsha01.html,
15,2019-20,23.0,POR,NBA,PG,3.0,0.0,7.0,1.0,3.0,0.333,0.0,1.3,1.0,1.7,0.6,0.333,0.0,0.0,,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,2.0,/players/a/adamsja01.html,0.0
16,2014-15,20.0,MEM,NBA,SG,4.0,0.0,2.5,0.5,0.8,0.667,0.3,0.3,0.3,0.5,0.5,0.833,0.5,1.0,0.5,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,1.8,/players/a/adamsjo01.html,1.0
17,1986-87,24.0,WSB,NBA,PG,3.0,1.0,27.3,2.7,8.3,0.32,0.7,3.0,2.0,5.3,0.375,0.36,0.3,1.0,0.333,0.0,2.3,2.3,3.3,2.3,0.0,1.7,2.0,6.3,/players/a/adamsmi01.html,0.222
18,1987-88,25.0,DEN,NBA,PG,11.0,11.0,36.9,4.3,11.8,0.362,1.5,4.9,2.7,6.9,0.395,0.427,3.3,3.7,0.878,0.8,2.5,3.3,5.8,1.6,0.2,2.1,1.7,13.4,/players/a/adamsmi01.html,0.315
19,1988-89,26.0,DEN,NBA,PG,2.0,1.0,37.5,7.5,18.0,0.417,5.0,11.0,2.5,7.0,0.357,0.556,3.5,4.0,0.875,2.5,6.0,8.5,4.5,1.5,0.0,4.0,3.0,23.5,/players/a/adamsmi01.html,0.455
20,1989-90,27.0,DEN,NBA,PG,3.0,3.0,35.0,4.3,11.3,0.382,2.0,6.7,2.3,4.7,0.5,0.471,2.3,2.7,0.875,0.0,2.0,2.0,6.0,1.3,0.0,2.7,3.3,13.0,/players/a/adamsmi01.html,0.3
21,1994-95,32.0,CHH,NBA,PG,1.0,0.0,11.0,2.0,5.0,0.4,0.0,2.0,2.0,3.0,0.667,0.4,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,/players/a/adamsmi01.html,0.0
22,2013-14,20.0,OKC,NBA,C,18.0,0.0,18.4,1.7,2.5,0.689,0.0,0.0,1.7,2.5,0.689,0.689,0.4,1.3,0.348,1.2,2.9,4.1,0.2,0.1,1.3,0.6,2.7,3.9,/players/a/adamsst01.html,
23,2015-16,22.0,OKC,NBA,C,18.0,18.0,30.7,3.8,6.2,0.613,0.0,0.1,3.8,6.1,0.618,0.613,2.6,4.1,0.63,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,/players/a/adamsst01.html,0.0
24,2016-17,23.0,OKC,NBA,C,5.0,5.0,31.4,3.6,5.6,0.643,0.0,0.0,3.6,5.6,0.643,0.643,0.8,2.2,0.364,3.4,3.4,6.8,1.4,1.2,1.8,0.8,2.8,8.0,/players/a/adamsst01.html,
25,2017-18,24.0,OKC,NBA,C,6.0,6.0,33.3,4.5,7.7,0.587,0.0,0.0,4.5,7.7,0.587,0.587,1.5,2.2,0.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5,/players/a/adamsst01.html,
26,2018-19,25.0,OKC,NBA,C,5.0,5.0,31.8,5.6,8.4,0.667,0.0,0.2,5.6,8.2,0.683,0.667,0.6,1.6,0.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8,/players/a/adamsst01.html,0.0
27,2019-20,26.0,OKC,NBA,C,7.0,7.0,30.0,4.4,7.4,0.596,0.0,0.1,4.4,7.3,0.608,0.596,1.3,2.9,0.45,4.9,6.7,11.6,1.3,0.6,0.3,2.3,1.4,10.1,/players/a/adamsst01.html,0.0
