,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,URL
0,1990-91,22.0,POR,NBA,PF,43.0,290.0,13.1,0.499,0.0,0.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,0.0,0.5,0.5,0.079,-3.4,-1.2,-4.6,-0.2,/players/a/abdelal01.html
1,1991-92,23.0,POR,NBA,PF,71.0,934.0,13.5,0.533,0.0,0.28,9.5,20.9,15.2,4.7,1.3,1.1,14.0,20.6,0.6,1.5,2.1,0.11,-2.3,-0.4,-2.6,-0.1,/players/a/abdelal01.html
2,1992-93,24.0,TOT,NBA,PF,75.0,1311.0,13.2,0.551,0.002,0.245,11.0,18.1,14.6,3.0,1.0,1.2,15.6,20.5,0.7,1.3,2.0,0.074,-2.4,-1.5,-3.9,-0.6,/players/a/abdelal01.html
3,1992-93,24.0,MIL,NBA,PF,12.0,159.0,11.9,0.508,0.018,0.286,8.6,18.3,13.4,9.5,1.9,1.6,17.1,20.5,0.0,0.2,0.1,0.035,-3.3,-0.2,-3.5,-0.1,/players/a/abdelal01.html
4,1992-93,24.0,BOS,NBA,PF,63.0,1152.0,13.4,0.557,0.0,0.24,11.3,18.1,14.8,2.2,0.8,1.2,15.4,20.5,0.7,1.2,1.9,0.079,-2.3,-1.7,-4.0,-0.6,/players/a/abdelal01.html
5,1993-94,25.0,BOS,NBA,PF,13.0,159.0,9.2,0.485,0.0,0.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,-0.2,0.1,-0.1,-0.032,-5.3,-2.2,-7.4,-0.2,/players/a/abdelal01.html
6,1994-95,26.0,TOT,NBA,PF,54.0,506.0,12.6,0.519,0.009,0.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,0.027,-4.4,0.1,-4.3,-0.3,/players/a/abdelal01.html
7,1994-95,26.0,SAC,NBA,PF,51.0,476.0,14.1,0.54,0.009,0.159,8.5,17.3,13.0,5.3,1.6,1.9,14.5,25.7,-0.1,0.7,0.6,0.058,-3.6,0.5,-3.1,-0.1,/players/a/abdelal01.html
8,1994-95,26.0,PHI,NBA,PF,3.0,30.0,-12.5,0.091,0.0,0.0,11.6,19.6,15.5,0.0,0.0,0.0,31.3,23.8,-0.3,0.0,-0.3,-0.466,-17.6,-7.3,-24.9,-0.2,/players/a/abdelal01.html
9,1990-91,21.0,DEN,NBA,PG,67.0,1505.0,12.2,0.448,0.099,0.097,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1.0,-0.031,-2.0,-3.0,-5.0,-1.1,/players/a/abdulma02.html
10,1991-92,22.0,DEN,NBA,PG,81.0,1538.0,12.6,0.469,0.111,0.128,1.5,6.8,4.0,21.0,1.4,0.2,11.6,26.7,-0.2,0.8,0.6,0.018,-1.2,-1.9,-3.1,-0.4,/players/a/abdulma02.html
11,1992-93,23.0,DEN,NBA,PG,81.0,2710.0,15.6,0.515,0.14,0.165,2.0,6.8,4.4,20.8,1.5,0.2,11.0,25.5,3.0,2.2,5.1,0.091,0.9,-1.1,-0.1,1.3,/players/a/abdulma02.html
12,1993-94,24.0,DEN,NBA,PG,80.0,2617.0,16.7,0.521,0.104,0.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,4.4,2.4,6.8,0.125,1.5,-0.7,0.8,1.9,/players/a/abdulma02.html
13,1994-95,25.0,DEN,NBA,PG,73.0,2082.0,17.8,0.543,0.214,0.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,3.8,1.3,5.0,0.115,2.3,-1.1,1.2,1.7,/players/a/abdulma02.html
14,1995-96,26.0,DEN,NBA,PG,57.0,2029.0,18.6,0.535,0.324,0.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,3.5,-1.6,1.9,1.9,/players/a/abdulma02.html
15,1996-97,27.0,SAC,NBA,PG,75.0,2131.0,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,2.0,0.7,2.7,0.06,-0.8,-1.8,-2.6,-0.4,/players/a/abdulma02.html
16,1997-98,28.0,SAC,NBA,PG,31.0,530.0,10.5,0.405,0.114,0.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,-0.5,0.2,-0.3,-0.025,-3.2,-1.5,-4.7,-0.4,/players/a/abdulma02.html
17,2000-01,31.0,VAN,NBA,PG,41.0,486.0,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,0.7,0.0,0.7,0.07,1.1,-2.1,-1.0,0.1,/players/a/abdulma02.html
18,1997-98,23.0,SAC,NBA,SG,59.0,959.0,10.1,0.456,0.053,0.35,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.8,0.6,-0.2,-0.008,-3.6,-1.2,-4.8,-0.7,/players/a/abdulta01.html
19,1998-99,24.0,SAC,NBA,SG,49.0,1205.0,11.8,0.486,0.052,0.334,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,0.5,0.9,1.4,0.058,-2.5,-0.5,-3.0,-0.3,/players/a/abdulta01.html
20,1999-00,25.0,TOT,NBA,SG,61.0,1578.0,13.6,0.477,0.036,0.299,7.0,13.1,10.0,10.0,1.8,1.2,12.7,22.5,0.4,1.8,2.2,0.068,-1.2,-0.1,-1.2,0.3,/players/a/abdulta01.html
21,1999-00,25.0,ORL,NBA,SG,46.0,1205.0,14.4,0.484,0.041,0.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,0.4,1.6,2.0,0.082,-1.0,0.2,-0.8,0.4,/players/a/abdulta01.html
22,1999-00,25.0,DEN,NBA,SG,15.0,373.0,10.8,0.448,0.015,0.321,6.9,8.2,7.6,11.0,0.8,2.2,11.3,19.7,0.0,0.2,0.2,0.023,-1.7,-0.9,-2.5,0.0,/players/a/abdulta01.html
23,2000-01,26.0,DEN,NBA,SG,29.0,420.0,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.6,-0.3,-5.8,-0.4,/players/a/abdulta01.html
24,2001-02,27.0,TOT,NBA,SG,24.0,441.0,9.8,0.418,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0.0,-0.003,-3.4,-0.3,-3.7,-0.2,/players/a/abdulta01.html
25,2001-02,27.0,DEN,NBA,SG,20.0,417.0,10.3,0.424,0.014,0.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,-0.2,0.3,0.0,0.005,-3.1,-0.5,-3.6,-0.2,/players/a/abdulta01.html
26,2001-02,27.0,DAL,NBA,SG,4.0,24.0,0.3,0.0,0.0,0.5,9.4,18.2,13.9,10.4,4.3,3.0,55.1,10.2,-0.1,0.0,-0.1,-0.128,-9.0,2.7,-6.3,0.0,/players/a/abdulta01.html
27,2002-03,28.0,DAL,NBA,SG,14.0,204.0,12.4,0.47,0.017,0.103,7.6,14.0,10.8,15.4,1.5,1.1,10.3,15.0,0.2,0.2,0.4,0.104,-1.6,0.2,-1.4,0.0,/players/a/abdulta01.html
